GRAPHEME	FROM_PHONATION	FROM_PLACE	FROM_MANNER	TO_PHONATION	TO_PLACE	TO_MANNER	ALIAS	EXTRA	NOTE
d̠d̤	from_voiced	from_postalveolar	from_plosive	to_breathy-voiced	to_alveolar	to_plosive			
d̠d̪	from_voiced	from_postalveolar	from_plosive	to_voiced	to_dental	to_plosive			
d̠d̪̈	from_voiced	from_postalveolar	from_plosive	to_breathy-voiced	to_dental	to_plosive			
d̠d̰	from_voiced	from_postalveolar	from_plosive	to_creaky-voiced	to_alveolar	to_plosive			
d̠d̻	from_voiced	from_postalveolar	from_plosive	to_voiced	to_lamino-dental	to_plosive			
d̠g	from_voiced	from_postalveolar	from_plosive	to_voiced	to_velar	to_plosive			
d̠g̈	from_voiced	from_postalveolar	from_plosive	to_breathy-voiced	to_velar	to_plosive			
d̠g̊	from_voiced	from_postalveolar	from_plosive	to_devoiced	to_velar	to_plosive			
d̠k	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_velar	to_plosive			
d̠kʼ	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_velar	to_plosive		to_ejection:to_ejective	
d̠p	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_bilabial	to_plosive			
d̠pʼ	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_bilabial	to_plosive		to_ejection:to_ejective	
d̠q	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_uvular	to_plosive			
d̠qʼ	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_uvular	to_plosive		to_ejection:to_ejective	
d̠t	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_alveolar	to_plosive			
d̠tʼ	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_alveolar	to_plosive		to_ejection:to_ejective	
d̠t̠	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_postalveolar	to_plosive			
d̠t̪	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_dental	to_plosive			
d̠t̻	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_lamino-dental	to_plosive			
d̠ɓ	from_voiced	from_postalveolar	from_plosive	to_voiced	to_bilabial	to_implosive			
d̠ɖ	from_voiced	from_postalveolar	from_plosive	to_voiced	to_retroflex	to_plosive			
d̠ɖ̤	from_voiced	from_postalveolar	from_plosive	to_breathy-voiced	to_retroflex	to_plosive			
d̠ɗ	from_voiced	from_postalveolar	from_plosive	to_voiced	to_dental	to_implosive			
d̠ɟ	from_voiced	from_postalveolar	from_plosive	to_voiced	to_palatal	to_plosive			
d̠ɠ	from_voiced	from_postalveolar	from_plosive	to_voiced	to_velar	to_implosive			
d̠ɢ	from_voiced	from_postalveolar	from_plosive	to_voiced	to_uvular	to_plosive			
d̠ʄ	from_voiced	from_postalveolar	from_plosive	to_voiced	to_palatal	to_implosive			
d̠ʈ	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_retroflex	to_plosive			
d̠ʔ	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_glottal	to_plosive			
d̠ʛ	from_voiced	from_postalveolar	from_plosive	to_voiced	to_uvular	to_implosive			
d̠ʛ̥	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_uvular	to_implosive			
d̠ʡ	from_voiced	from_postalveolar	from_plosive	to_voiceless	to_epiglottal	to_plosive			
d̤b	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_bilabial	to_plosive			
d̤b̤	from_breathy-voiced	from_alveolar	from_plosive	to_breathy-voiced	to_bilabial	to_plosive			
