GRAPHEME	SOUND_CLASS	NAME	SOUND_CLASS_MODEL
ʌə	#c86464	from unrounded open-mid back to unrounded mid central diphthong	color
uɨ	#c86464	from rounded close back to unrounded close central diphthong	color
iɨ	#c86464	from unrounded close front to unrounded close central diphthong	color
zˠ	#6496c8	velarized voiced alveolar sibilant fricative consonant	color
ðˠ	#9664c8	velarized voiced dental fricative consonant	color
æu	#c86464	from unrounded near-open front to rounded close back diphthong	color
ɪi	#c86464	from unrounded near-close near-front to unrounded close front diphthong	color
ieː	#c86464	from unrounded close front to long unrounded close-mid front diphthong	color
tɬ̰	#9664c8	creaky voiceless alveolar lateral affricate consonant	color
ʉi	#c86464	from rounded close central to unrounded close front diphthong	color
ɨ̥	#c86464	devoiced unrounded close central vowel	color
ɛ̰̃	#c86464	nasalized creaky unrounded open-mid front vowel	color
ˀl̪̥	#6464c8	pre-glottalized devoiced voiced dental lateral approximant consonant	color
ˀq	#c89664	pre-glottalized voiceless uvular stop consonant	color
ˀt̪	#9664c8	pre-glottalized voiceless dental stop consonant	color
ˀn̪̥	#64c8c8	pre-glottalized devoiced voiced dental nasal consonant	color
ˀw̥	#c864c8	pre-glottalized devoiced voiced labialized-velar approximant consonant	color
ˀt̪ɬ	#9664c8	from pre-glottalized voiceless dental stop to voiceless alveolar lateral fricative cluster	color
ˀt̪s	#9664c8	from pre-glottalized voiceless dental stop to voiceless alveolar sibilant fricative cluster	color
ˀj̥	#64c864	pre-glottalized devoiced voiced palatal approximant consonant	color
ˀm̥	#64c896	pre-glottalized devoiced voiced bilabial nasal consonant	color
ˀkʷ	#c89664	pre-glottalized labialized voiceless velar stop consonant	color
æɪ	#c86464	from unrounded near-open front to unrounded near-close near-front diphthong	color
ʎ’	#6464c8	voiced palatal ejective lateral approximant consonant	color
ʎʰ	#6464c8	aspirated voiced palatal lateral approximant consonant	color
ɲ’	#64c8c8	voiced palatal ejective nasal consonant	color
ŋʷː	#64c8c8	labialized long voiced velar nasal consonant	color
ɛ̙ː	#c86464	long retracted-tongue-root unrounded open-mid front vowel	color
a̙ˠ	#c86464	velarized retracted-tongue-root unrounded open front vowel	color
ɔ̙	#c86464	retracted-tongue-root rounded open-mid back vowel	color
ɛ̙ˠ	#c86464	velarized retracted-tongue-root unrounded open-mid front vowel	color
ɔ̙ː	#c86464	long retracted-tongue-root rounded open-mid back vowel	color
a̙ː	#c86464	long retracted-tongue-root unrounded open front vowel	color
ɛ̙	#c86464	retracted-tongue-root unrounded open-mid front vowel	color
ɪ̙ˠ	#c86464	velarized retracted-tongue-root unrounded near-close near-front vowel	color
ɪ̙ː	#c86464	long retracted-tongue-root unrounded near-close near-front vowel	color
a̙	#c86464	retracted-tongue-root unrounded open front vowel	color
gɦ	#c89664	from voiced velar stop to voiced glottal fricative cluster	color
nɦ	#64c8c8	from voiced alveolar nasal to voiced glottal fricative cluster	color
ɟɦ	#c89664	from voiced palatal stop to voiced glottal fricative cluster	color
bɦ	#c8c864	from voiced bilabial stop to voiced glottal fricative cluster	color
mɦ	#64c896	from voiced bilabial nasal to voiced glottal fricative cluster	color
ɖɦ	#9664c8	from voiced retroflex stop to voiced glottal fricative cluster	color
d̪ɦ	#9664c8	from voiced dental stop to voiced glottal fricative cluster	color
ɳɦ	#64c8c8	from voiced retroflex nasal to voiced glottal fricative cluster	color
tçʰ	#9664c8	from voiceless alveolar stop to aspirated voiceless palatal sibilant fricative cluster	color
ʊɔ	#c86464	from rounded near-close near-back to rounded open-mid back diphthong	color
ɲʄ	#64c8c8	from voiced palatal nasal to voiced palatal implosive cluster	color
ɑ̃ĩ	#c86464	from nasalized unrounded open back to nasalized unrounded close front diphthong	color
ɑ̃õ	#c86464	from nasalized unrounded open back to nasalized rounded close-mid back diphthong	color
ẽĩ	#c86464	from nasalized unrounded close-mid front to nasalized unrounded close front diphthong	color
ɑe	#c86464	from unrounded open back to unrounded close-mid front diphthong	color
õũ	#c86464	from nasalized rounded close-mid back to nasalized rounded close back diphthong	color
ɑo	#c86464	from unrounded open back to rounded close-mid back diphthong	color
x̥	#c89664	devoiced voiceless velar fricative consonant	color
ɴɢ	#64c8c8	from voiced uvular nasal to voiced uvular stop cluster	color
aɔ	#c86464	from unrounded open front to rounded open-mid back diphthong	color
eɔ	#c86464	from unrounded close-mid front to rounded open-mid back diphthong	color
iʊ	#c86464	from unrounded close front to rounded near-close near-back diphthong	color
oɛ	#c86464	from rounded close-mid back to unrounded open-mid front diphthong	color
oɪ	#c86464	from rounded close-mid back to unrounded near-close near-front diphthong	color
eʊ	#c86464	from unrounded close-mid front to rounded near-close near-back diphthong	color
uɪ	#c86464	from rounded close back to unrounded near-close near-front diphthong	color
a̰ḭ	#c86464	from creaky unrounded open front to creaky unrounded close front diphthong	color
a̰ṵ	#c86464	from creaky unrounded open front to creaky rounded close back diphthong	color
o̙	#c86464	retracted-tongue-root rounded close-mid back vowel	color
o̘	#c86464	advanced-tongue-root rounded close-mid back vowel	color
u̘	#c86464	advanced-tongue-root rounded close back vowel	color
e̘	#c86464	advanced-tongue-root unrounded close-mid front vowel	color
i̙	#c86464	retracted-tongue-root unrounded close front vowel	color
e̙	#c86464	retracted-tongue-root unrounded close-mid front vowel	color
ʑᶣ	#6496c8	labio-palatalized voiced alveolo-palatal sibilant fricative consonant	color
lᶣ	#6464c8	labio-palatalized voiced alveolar lateral approximant consonant	color
ŋgː	#64c8c8	from voiced velar nasal to long voiced velar stop cluster	color
mbː	#64c896	from voiced bilabial nasal to long voiced bilabial stop cluster	color
ndː	#64c8c8	from voiced alveolar nasal to long voiced alveolar stop cluster	color
ʔʲː	#96c864	palatalized long voiceless glottal stop consonant	color
wʱ	#c864c8	breathy voiced labialized-velar approximant consonant	color
tʱ	#9664c8	breathy voiceless alveolar stop consonant	color
pkʰ	#c8c864	from voiceless bilabial stop to aspirated voiceless velar stop cluster	color
bg	#c8c864	from voiced bilabial stop to voiced velar stop cluster	color
pʱ	#c8c864	breathy voiceless bilabial stop consonant	color
kʷʱ	#c89664	labialized breathy voiceless velar stop consonant	color
tsʱ	#c89664	breathy voiceless alveolar sibilant affricate consonant	color
sʲʷ	#6496c8	palatalized labialized voiceless alveolar sibilant fricative consonant	color
a̰ˑ	#c86464	mid-long creaky unrounded open front vowel	color
o̰ː	#c86464	long creaky rounded close-mid back vowel	color
o̰ˑ	#c86464	mid-long creaky rounded close-mid back vowel	color
ɛ̰ˑ	#c86464	mid-long creaky unrounded open-mid front vowel	color
ɔ̰ˑ	#c86464	mid-long creaky rounded open-mid back vowel	color
ḛˑ	#c86464	mid-long creaky unrounded close-mid front vowel	color
ḛː	#c86464	long creaky unrounded close-mid front vowel	color
o̤ˑ	#c86464	mid-long breathy rounded close-mid back vowel	color
a̰ː	#c86464	long creaky unrounded open front vowel	color
ḭˑ	#c86464	mid-long creaky unrounded close front vowel	color
ɱð	#64c896	from voiced labio-dental nasal to voiced dental fricative cluster	color
iːe	#c86464	from long unrounded close front to unrounded close-mid front diphthong	color
uːa	#c86464	from long rounded close back to unrounded open front diphthong	color
ɰ̃	#64c864	nasalized voiced velar approximant consonant	color
psʰ	#c8c864	from voiceless bilabial stop to aspirated voiceless alveolar sibilant fricative cluster	color
ntʼ	#64c8c8	from voiced alveolar nasal to voiceless alveolar ejective stop cluster	color
ŋǃ’	#64c8c8	voiced alveolar ejective nasal-click consonant	color
mpʼ	#64c896	from voiced bilabial nasal to voiceless bilabial ejective stop cluster	color
mpfʼ	#64c896	from voiced bilabial nasal to voiceless labio-dental ejective affricate cluster	color
ɲcʼ	#64c8c8	from voiced palatal nasal to voiceless palatal ejective stop cluster	color
ŋkʼ	#64c8c8	from voiced velar nasal to voiceless velar ejective stop cluster	color
l̪ʷ	#6464c8	labialized voiced dental lateral approximant consonant	color
œ̤	#c86464	breathy rounded open-mid front vowel	color
rᶣ	#6464c8	labio-palatalized voiced alveolar trill consonant	color
e̥ː	#c86464	long devoiced unrounded close-mid front vowel	color
nˤː	#64c8c8	pharyngealized long voiced alveolar nasal consonant	color
r’ː	#6464c8	long voiced alveolar ejective trill consonant	color
l’ː	#6464c8	long voiced alveolar ejective lateral approximant consonant	color
r’	#6464c8	voiced alveolar ejective trill consonant	color
gɓ	#c89664	from voiced velar stop to voiced bilabial implosive cluster	color
d’kx’	#9664c8	from voiced alveolar ejective stop to voiceless velar ejective affricate cluster	color
d̪’kx’	#9664c8	from voiced dental ejective stop to voiceless velar ejective affricate cluster	color
eˤ	#c86464	pharyngealized unrounded close-mid front vowel	color
gǂqʰ	#c89664	from voiced palatal click to aspirated voiceless uvular stop cluster	color
gǀkx’	#c89664	from voiced dental click to voiceless velar ejective affricate cluster	color
gǃkx’	#c89664	from voiced alveolar click to voiceless velar ejective affricate cluster	color
gʘqʰ	#c89664	from voiced labial click to aspirated voiceless uvular stop cluster	color
gǀqʰ	#c89664	from voiced dental click to aspirated voiceless uvular stop cluster	color
gǂkx’	#c89664	from voiced palatal click to voiceless velar ejective affricate cluster	color
pʼkx’	#c8c864	from voiceless bilabial ejective stop to voiceless velar ejective affricate cluster	color
d̪x	#9664c8	from voiced dental stop to voiceless velar fricative cluster	color
tʼkx’	#9664c8	from voiceless alveolar ejective stop to voiceless velar ejective affricate cluster	color
gǃqʰ	#c89664	from voiced alveolar click to aspirated voiceless uvular stop cluster	color
gʘkx’	#c89664	from voiced labial click to voiceless velar ejective affricate cluster	color
gǁkx’	#c89664	from voiced lateral click to voiceless velar ejective affricate cluster	color
t̪ʼkx’	#9664c8	from voiceless dental ejective stop to voiceless velar ejective affricate cluster	color
gǁqʰ	#c89664	from voiced lateral click to aspirated voiceless uvular stop cluster	color
gʘx	#c89664	from voiced labial click to voiceless velar fricative cluster	color
t̪x	#9664c8	from voiceless dental stop to voiceless velar fricative cluster	color
g’kx’	#c89664	from voiced velar ejective stop to voiceless velar ejective affricate cluster	color
ŋǃǃʰ	#64c8c8	aspirated voiced retroflex nasal-click consonant	color
gǀxʼ	#c89664	from voiced dental click to voiceless velar ejective fricative cluster	color
gǃǃʰ	#c89664	aspirated voiced retroflex click consonant	color
õˤ	#c86464	pharyngealized nasalized rounded close-mid back vowel	color
gǃʰ	#c89664	aspirated voiced alveolar click consonant	color
gǃxʼ	#c89664	from voiced alveolar click to voiceless velar ejective fricative cluster	color
gǃǃxʼ	#c89664	from voiced retroflex click to voiceless velar ejective fricative cluster	color
ŋǀʰ	#64c8c8	aspirated voiced dental nasal-click consonant	color
t’ʰ	#9664c8	aspirated voiceless alveolar ejective stop consonant	color
ŋǃʰ	#64c8c8	aspirated voiced alveolar nasal-click consonant	color
gǀʰ	#c89664	aspirated voiced dental click consonant	color
ũˤ	#c86464	pharyngealized nasalized rounded close back vowel	color
gǃǃx	#c89664	from voiced retroflex click to voiceless velar fricative cluster	color
gǁxʼ	#c89664	from voiced lateral click to voiceless velar ejective fricative cluster	color
nθ	#64c8c8	from voiced alveolar nasal to voiceless dental fricative cluster	color
t̪ʃ	#9664c8	from voiceless dental stop to voiceless post-alveolar sibilant fricative cluster	color
ɪ̝	#c86464	raised unrounded near-close near-front vowel	color
øɘ	#c86464	from rounded close-mid front to unrounded close-mid central diphthong	color
eɘ	#c86464	from unrounded close-mid front to unrounded close-mid central diphthong	color
œu	#c86464	from rounded open-mid front to rounded close back diphthong	color
oɘ	#c86464	from rounded close-mid back to unrounded close-mid central diphthong	color
ɪ̝ː	#c86464	long raised unrounded near-close near-front vowel	color
h’	#96c864	voiceless glottal ejective fricative consonant	color
ɸː	#c8c864	long voiceless bilabial fricative consonant	color
ɸʰ	#c8c864	aspirated voiceless bilabial fricative consonant	color
ǃʰ	#c89664	aspirated voiceless alveolar click consonant	color
ǃʱ	#c89664	breathy voiceless alveolar click consonant	color
ǃˀ	#c89664	glottalized voiceless alveolar click consonant	color
ǃʰˀ	#c89664	glottalized aspirated voiceless alveolar click consonant	color
bd	#c8c864	from voiced bilabial stop to voiced alveolar stop cluster	color
bɗ	#c8c864	from voiced bilabial stop to voiced dental implosive cluster	color
bɮ	#c8c864	from voiced bilabial stop to voiced alveolar lateral fricative cluster	color
cʲʷ	#c89664	palatalized labialized voiceless palatal stop consonant	color
cʲː	#c89664	palatalized long voiceless palatal stop consonant	color
cˀ	#c89664	glottalized voiceless palatal stop consonant	color
c̥	#c89664	devoiced voiceless palatal stop consonant	color
dˡ	#9664c8	with-lateral-release voiced alveolar stop consonant	color
fˀ	#c8c864	glottalized voiceless labio-dental fricative consonant	color
kt	#c89664	from voiceless velar stop to voiceless alveolar stop cluster	color
kʲˀ	#c89664	palatalized glottalized voiceless velar stop consonant	color
kˡ	#c89664	with-lateral-release voiceless velar stop consonant	color
kˀˡ	#c89664	glottalized with-lateral-release voiceless velar stop consonant	color
mˡ	#64c896	with-lateral-release voiced bilabial nasal consonant	color
m̥ˡ	#64c896	with-lateral-release devoiced voiced bilabial nasal consonant	color
pt	#c8c864	from voiceless bilabial stop to voiceless alveolar stop cluster	color
pˡ	#c8c864	with-lateral-release voiceless bilabial stop consonant	color
pʰˡ	#c8c864	aspirated with-lateral-release voiceless bilabial stop consonant	color
rˀ	#6464c8	glottalized voiced alveolar trill consonant	color
s̪ˀː	#6496c8	glottalized long voiceless dental sibilant fricative consonant	color
tp	#9664c8	from voiceless alveolar stop to voiceless bilabial stop cluster	color
tˡː	#9664c8	long with-lateral-release voiceless alveolar stop consonant	color
tˀˡː	#9664c8	glottalized long with-lateral-release voiceless alveolar stop consonant	color
tˡ	#9664c8	with-lateral-release voiceless alveolar stop consonant	color
tʰˡ	#9664c8	aspirated with-lateral-release voiceless alveolar stop consonant	color
tˀˡ	#9664c8	glottalized with-lateral-release voiceless alveolar stop consonant	color
t̥ˡ	#9664c8	with-lateral-release devoiced voiceless alveolar stop consonant	color
t̥ʰˡ	#9664c8	aspirated with-lateral-release devoiced voiceless alveolar stop consonant	color
u̠	#c86464	retracted rounded close back vowel	color
vˀ	#c864c8	glottalized voiced labio-dental fricative consonant	color
v̰ː	#c864c8	long creaky voiced labio-dental fricative consonant	color
v̰	#c864c8	creaky voiced labio-dental fricative consonant	color
xˀ	#c89664	glottalized voiceless velar fricative consonant	color
xʷˀ	#c89664	labialized glottalized voiceless velar fricative consonant	color
zʱ	#6496c8	breathy voiced alveolar sibilant fricative consonant	color
zˀ	#6496c8	glottalized voiced alveolar sibilant fricative consonant	color
ǁʰ	#c89664	aspirated voiceless lateral click consonant	color
ǁʱ	#c89664	breathy voiceless lateral click consonant	color
ǁˀ	#c89664	glottalized voiceless lateral click consonant	color
ǁʰˀ	#c89664	glottalized aspirated voiceless lateral click consonant	color
ǂʰ	#c89664	aspirated voiceless palatal click consonant	color
ǂʱ	#c89664	breathy voiceless palatal click consonant	color
ǂˀ	#c89664	glottalized voiceless palatal click consonant	color
ǂʰˀ	#c89664	glottalized aspirated voiceless palatal click consonant	color
ɑ̯	#c86464	non-syllabic unrounded open back vowel	color
gǃʰˀ	#c89664	glottalized aspirated voiced alveolar click consonant	color
gd	#c89664	from voiced velar stop to voiced alveolar stop cluster	color
gǁʰˀ	#c89664	glottalized aspirated voiced lateral click consonant	color
gǂʰˀ	#c89664	glottalized aspirated voiced palatal click consonant	color
gˀ	#c89664	glottalized voiced velar stop consonant	color
ɨ̯	#c86464	non-syllabic unrounded close central vowel	color
ɬʰ	#6464c8	aspirated voiceless alveolar lateral fricative consonant	color
ɬˀ	#6464c8	glottalized voiceless alveolar lateral fricative consonant	color
ɸˀ	#c8c864	glottalized voiceless bilabial fricative consonant	color
ʁˀ	#6464c8	glottalized voiced uvular fricative consonant	color
ʔʰ	#96c864	aspirated voiceless glottal stop consonant	color
ʕˀ	#96c864	glottalized voiced pharyngeal fricative consonant	color
ʕʷˀ	#96c864	labialized glottalized voiced pharyngeal fricative consonant	color
ʘʰ	#c89664	aspirated voiceless labial click consonant	color
ʘʱ	#c89664	breathy voiceless labial click consonant	color
ʘˀ	#c89664	glottalized voiceless labial click consonant	color
ʮˀ	#c86464	glottalized rounded close with-frication back vowel	color
ʮː	#c86464	long rounded close with-frication back vowel	color
ʯˀ	0	glottalized rounded close with-frication central vowel	color
ˀbˡ	#c8c864	pre-glottalized with-lateral-release voiced bilabial stop consonant	color
ˀc	#c89664	pre-glottalized voiceless palatal stop consonant	color
ˀh	#96c864	pre-glottalized voiceless glottal fricative consonant	color
ˀk	#c89664	pre-glottalized voiceless velar stop consonant	color
ˀn̪	#64c8c8	pre-glottalized voiced dental nasal consonant	color
ˀs̪	#6496c8	pre-glottalized voiceless dental sibilant fricative consonant	color
ˀt̪ʰ	#9664c8	pre-glottalized aspirated voiceless dental stop consonant	color
ˀv	#c864c8	pre-glottalized voiced labio-dental fricative consonant	color
ˀz	#6496c8	pre-glottalized voiced alveolar sibilant fricative consonant	color
ˀð	#9664c8	pre-glottalized voiced dental fricative consonant	color
ˀŋʷ	#64c8c8	pre-glottalized labialized voiced velar nasal consonant	color
ˀɣ	#c89664	pre-glottalized voiced velar fricative consonant	color
ˀɾ	#6464c8	pre-glottalized devoiced voiced alveolar tap consonant	color
ˀʁ	#6464c8	pre-glottalized voiced uvular fricative consonant	color
ˀʁʷ	#6464c8	pre-glottalized labialized voiced uvular fricative consonant	color
ⁿdʲ	#9664c8	pre-nasalized palatalized voiced alveolar stop consonant	color
ⁿdˡ	#9664c8	pre-nasalized with-lateral-release voiced alveolar stop consonant	color
ⁿs	#6496c8	pre-nasalized voiceless alveolar sibilant fricative consonant	color
ⁿtˀˡ	#9664c8	pre-nasalized glottalized with-lateral-release voiceless alveolar stop consonant	color
ⁿz	#6496c8	pre-nasalized voiced alveolar sibilant fricative consonant	color
ⁿɾ	#6464c8	pre-nasalized devoiced voiced alveolar tap consonant	color
a̝	#c86464	raised unrounded open front vowel	color
a̝ː	#c86464	long raised unrounded open front vowel	color
a̞	#c86464	lowered unrounded open front vowel	color
a̤ˤ	#c86464	pharyngealized breathy unrounded open front vowel	color
ã̤ˤ	#c86464	pharyngealized nasalized breathy unrounded open front vowel	color
bʒ	#c8c864	from voiced bilabial stop to voiced post-alveolar sibilant fricative cluster	color
bˡ	#c8c864	with-lateral-release voiced bilabial stop consonant	color
bdz	#c8c864	from voiced bilabial stop to voiced alveolar sibilant affricate cluster	color
bdʒ	#c8c864	from voiced bilabial stop to voiced post-alveolar sibilant affricate cluster	color
btʃ	#c8c864	from voiced bilabial stop to voiceless post-alveolar sibilant affricate cluster	color
bç	#c8c864	from voiced bilabial stop to voiceless palatal sibilant fricative cluster	color
bʝ	#c8c864	from voiced bilabial stop to voiced palatal fricative cluster	color
cʃ	#c89664	from voiceless palatal stop to voiceless post-alveolar sibilant fricative cluster	color
cˤ	#c89664	pharyngealized voiceless palatal stop consonant	color
dʝ	#9664c8	from voiced alveolar stop to voiced palatal fricative cluster	color
d̪ʒ	#9664c8	from voiced dental stop to voiced post-alveolar sibilant fricative cluster	color
d̪ˤː	#9664c8	pharyngealized long voiced dental stop consonant	color
d̻ʑ	#9664c8	from voiced laminal alveolar stop to voiced alveolo-palatal sibilant fricative cluster	color
dβ	#9664c8	from voiced alveolar stop to voiced bilabial fricative cluster	color
e̝ː	#c86464	long raised unrounded close-mid front vowel	color
ẽ̝	#c86464	raised nasalized unrounded close-mid front vowel	color
ẽ̤	#c86464	nasalized breathy unrounded close-mid front vowel	color
e̯a	#c86464	from non-syllabic unrounded close-mid front to unrounded open front diphthong	color
e̯o	#c86464	from non-syllabic unrounded close-mid front to rounded close-mid back diphthong	color
fˡ	#c8c864	with-lateral-release voiceless labio-dental fricative consonant	color
fˤ	#c8c864	pharyngealized voiceless labio-dental fricative consonant	color
hʷː	#96c864	labialized long voiceless glottal fricative consonant	color
hˤ	#96c864	pharyngealized voiceless glottal fricative consonant	color
i̝	#c86464	raised unrounded close front vowel	color
i̝ː	#c86464	long raised unrounded close front vowel	color
i̟	#c86464	advanced unrounded close front vowel	color
i̤e̤	#c86464	from breathy unrounded close front to breathy unrounded close-mid front diphthong	color
i̯o	#c86464	from non-syllabic unrounded close front to rounded close-mid back diphthong	color
j’	#64c864	voiced palatal ejective approximant consonant	color
kʷɦ	#c89664	from labialized voiceless velar stop to voiced glottal fricative cluster	color
lʷˠ	#6464c8	labialized velarized voiced alveolar lateral approximant consonant	color
l̥ʰ	#6464c8	aspirated devoiced voiced alveolar lateral approximant consonant	color
l̪ʰ	#6464c8	aspirated voiced dental lateral approximant consonant	color
l̪’	#6464c8	voiced dental ejective lateral approximant consonant	color
l̪ˤː	#6464c8	pharyngealized long voiced dental lateral approximant consonant	color
mb̥	#64c896	from voiced bilabial nasal to devoiced voiced bilabial stop cluster	color
m̥ʰ	#64c896	aspirated devoiced voiced bilabial nasal consonant	color
mβ	#64c896	from voiced bilabial nasal to voiced bilabial fricative cluster	color
nd̥	#64c8c8	from voiced alveolar nasal to devoiced voiced alveolar stop cluster	color
n̥s	#64c8c8	from devoiced voiced alveolar nasal to voiceless alveolar sibilant fricative cluster	color
n̪t̪ʼ	#64c8c8	from voiced dental nasal to voiceless dental ejective stop cluster	color
n̪’	#64c8c8	voiced dental ejective nasal consonant	color
o̝ː	#c86464	long raised rounded close-mid back vowel	color
õ̝	#c86464	raised nasalized rounded close-mid back vowel	color
o̤ˤ	#c86464	pharyngealized breathy rounded close-mid back vowel	color
õ̤	#c86464	nasalized breathy rounded close-mid back vowel	color
o̯a	#c86464	from non-syllabic rounded close-mid back to unrounded open front diphthong	color
o̯u	#c86464	from non-syllabic rounded close-mid back to rounded close back diphthong	color
pv	#c8c864	from voiceless bilabial stop to voiced labio-dental fricative cluster	color
p’ˤ	#c8c864	pharyngealized voiceless bilabial ejective stop consonant	color
pk	#c8c864	from voiceless bilabial stop to voiceless velar stop cluster	color
pts	#c8c864	from voiceless bilabial stop to voiceless alveolar sibilant affricate cluster	color
qʷˤ	#c89664	labialized pharyngealized voiceless uvular stop consonant	color
r̥ʰ	#6464c8	aspirated devoiced voiced alveolar trill consonant	color
s̪ˤː	#6496c8	pharyngealized long voiceless dental sibilant fricative consonant	color
s̻ˤ	#6496c8	pharyngealized voiceless laminal alveolar sibilant fricative consonant	color
tz	#9664c8	from voiceless alveolar stop to voiced alveolar sibilant fricative cluster	color
tz’	#9664c8	from voiceless alveolar stop to voiced alveolar ejective sibilant fricative cluster	color
tɸʰ	#9664c8	from voiceless alveolar stop to aspirated voiceless bilabial fricative cluster	color
t̪ˤː	#9664c8	pharyngealized long voiceless dental stop consonant	color
t̪c	#9664c8	from voiceless dental stop to voiceless palatal stop cluster	color
t̪k	#9664c8	from voiceless dental stop to voiceless velar stop cluster	color
t̺s̺ʲ	#9664c8	from voiceless apical alveolar stop to palatalized voiceless apical alveolar sibilant fricative cluster	color
t̻ɕ	#9664c8	from voiceless laminal alveolar stop to voiceless alveolo-palatal sibilant fricative cluster	color
t̻ɕʰ	#9664c8	from voiceless laminal alveolar stop to aspirated voiceless alveolo-palatal sibilant fricative cluster	color
t̻ɕ’	#9664c8	from voiceless laminal alveolar stop to voiceless alveolo-palatal ejective sibilant fricative cluster	color
tθ’	#9664c8	voiceless dental ejective affricate consonant	color
u̝	#c86464	raised rounded close back vowel	color
u̝ː	#c86464	long raised rounded close back vowel	color
ṳo̤	#c86464	from breathy rounded close back to breathy rounded close-mid back diphthong	color
ṳˤ	#c86464	pharyngealized breathy rounded close back vowel	color
ṳ̃	#c86464	nasalized breathy rounded close back vowel	color
vˡ	#c864c8	with-lateral-release voiced labio-dental fricative consonant	color
ṽʲ	#c864c8	nasalized palatalized voiced labio-dental fricative consonant	color
z’	#6496c8	voiced alveolar ejective sibilant fricative consonant	color
z̪ˤː	#6496c8	pharyngealized long voiced dental sibilant fricative consonant	color
z̻ˤ	#6496c8	pharyngealized voiced laminal alveolar sibilant fricative consonant	color
æ̞	#c86464	lowered unrounded near-open front vowel	color
ŋkx’	#64c8c8	from voiced velar nasal to voiceless velar ejective affricate cluster	color
ŋ’	#64c8c8	voiced velar ejective nasal consonant	color
ŋ̥ʰ	#64c8c8	aspirated devoiced voiced velar nasal consonant	color
ǀq	#c89664	from voiceless dental click to voiceless uvular stop cluster	color
ǀqʰ	#c89664	from voiceless dental click to aspirated voiceless uvular stop cluster	color
ǀs	#c89664	from voiceless dental click to voiceless alveolar sibilant fricative cluster	color
ǀx	#c89664	from voiceless dental click to voiceless velar fricative cluster	color
ǀʔ	#c89664	from voiceless dental click to voiceless glottal stop cluster	color
ǀʰ	#c89664	aspirated voiceless dental click consonant	color
ǁq	#c89664	from voiceless lateral click to voiceless uvular stop cluster	color
ǁqʰ	#c89664	from voiceless lateral click to aspirated voiceless uvular stop cluster	color
ǁx	#c89664	from voiceless lateral click to voiceless velar fricative cluster	color
ǁʔ	#c89664	from voiceless lateral click to voiceless glottal stop cluster	color
ǂq	#c89664	from voiceless palatal click to voiceless uvular stop cluster	color
ǂqʰ	#c89664	from voiceless palatal click to aspirated voiceless uvular stop cluster	color
ǂx	#c89664	from voiceless palatal click to voiceless velar fricative cluster	color
ǂʔ	#c89664	from voiceless palatal click to voiceless glottal stop cluster	color
ǃd	#c89664	from voiceless alveolar click to voiced alveolar stop cluster	color
ǃq	#c89664	from voiceless alveolar click to voiceless uvular stop cluster	color
ǃqʰ	#c89664	from voiceless alveolar click to aspirated voiceless uvular stop cluster	color
ǃs	#c89664	from voiceless alveolar click to voiceless alveolar sibilant fricative cluster	color
ǃt	#c89664	from voiceless alveolar click to voiceless alveolar stop cluster	color
ǃx	#c89664	from voiceless alveolar click to voiceless velar fricative cluster	color
ǃz	#c89664	from voiceless alveolar click to voiced alveolar sibilant fricative cluster	color
ǃʃ	#c89664	from voiceless alveolar click to voiceless post-alveolar sibilant fricative cluster	color
ǃʒ	#c89664	from voiceless alveolar click to voiced post-alveolar sibilant fricative cluster	color
ǃʔ	#c89664	from voiceless alveolar click to voiceless glottal stop cluster	color
ɓ̥ˠ	#c8c864	velarized devoiced voiced bilabial implosive consonant	color
ɔ̘	#c86464	advanced-tongue-root rounded open-mid back vowel	color
ɔ̥	#c86464	devoiced rounded open-mid back vowel	color
əe	#c86464	from unrounded mid central to unrounded close-mid front diphthong	color
ə̝	#c86464	raised unrounded mid central vowel	color
ə̯i	#c86464	from non-syllabic unrounded mid central to unrounded close front diphthong	color
ɛ̘	#c86464	advanced-tongue-root unrounded open-mid front vowel	color
ɛ̥	#c86464	devoiced unrounded open-mid front vowel	color
ɟ̥	#c89664	devoiced voiced palatal stop consonant	color
ɠʲ	0	palatalized voiced velar implosive consonant	color
ɠʷ	0	labialized voiced velar implosive consonant	color
gkx’	#c89664	from voiced velar stop to voiceless velar ejective affricate cluster	color
gǀkx	#c89664	from voiced dental click to voiceless velar affricate cluster	color
gǁkx	#c89664	from voiced lateral click to voiceless velar affricate cluster	color
gǁʰ	#c89664	aspirated voiced lateral click consonant	color
gǂkx	#c89664	from voiced palatal click to voiceless velar affricate cluster	color
gǂʰ	#c89664	aspirated voiced palatal click consonant	color
gǃkx	#c89664	from voiced alveolar click to voiceless velar affricate cluster	color
gʘkx	#c89664	from voiced labial click to voiceless velar affricate cluster	color
gʘʰ	#c89664	aspirated voiced labial click consonant	color
gˤ	#c89664	pharyngealized voiced velar stop consonant	color
gp	#c89664	from voiced velar stop to voiceless bilabial stop cluster	color
ɣʰ	#c89664	aspirated voiced velar fricative consonant	color
ɣ’	#c89664	voiced velar ejective fricative consonant	color
ɦʲ	#96c864	palatalized voiced glottal fricative consonant	color
ɦ̃	#96c864	nasalized voiced glottal fricative consonant	color
ɪ̘	#c86464	advanced-tongue-root unrounded near-close near-front vowel	color
ɰ’	#64c864	voiced velar ejective approximant consonant	color
ɲ̥ʰ	#64c8c8	aspirated devoiced voiced palatal nasal consonant	color
