GRAPHEME	SOUND_CLASS	NAME	SOUND_CLASS_MODEL
s̬	S	revoiced voiceless alveolar sibilant fricative consonant	sca
n̰	N	creaky voiced alveolar nasal consonant	sca
n	N	voiced alveolar nasal consonant	sca
nː	N	long voiced alveolar nasal consonant	sca
nˤ	N	pharyngealized voiced alveolar nasal consonant	sca
n̩	N	syllabic voiced alveolar nasal consonant	sca
n̥	N	devoiced voiced alveolar nasal consonant	sca
dʱ	T	breathy voiced alveolar stop consonant	sca
dʱː	T	long breathy voiced alveolar stop consonant	sca
d̰	T	creaky voiced alveolar stop consonant	sca
d	T	voiced alveolar stop consonant	sca
dʰː	T	aspirated long voiced alveolar stop consonant	sca
dʰ	T	aspirated voiced alveolar stop consonant	sca
dː	T	long voiced alveolar stop consonant	sca
dˤ	T	pharyngealized voiced alveolar stop consonant	sca
ⁿd	T	pre-nasalized voiced alveolar stop consonant	sca
d̥̚	T	unreleased devoiced voiced alveolar stop consonant	sca
dⁿ	T	with-nasal-release voiced alveolar stop consonant	sca
d̥ⁿ	T	with-nasal-release devoiced voiced alveolar stop consonant	sca
d̥	T	devoiced voiced alveolar stop consonant	sca
t	T	voiceless alveolar stop consonant	sca
tʰ	T	aspirated voiceless alveolar stop consonant	sca
tː	T	long voiceless alveolar stop consonant	sca
tʼ	T	voiceless alveolar ejective stop consonant	sca
tʷ	T	labialized voiceless alveolar stop consonant	sca
tʷʰ	T	labialized aspirated voiceless alveolar stop consonant	sca
tʲ	T	palatalized voiceless alveolar stop consonant	sca
tʰʲ	T	palatalized aspirated voiceless alveolar stop consonant	sca
tˤ	T	pharyngealized voiceless alveolar stop consonant	sca
ʰt	T	pre-aspirated voiceless alveolar stop consonant	sca
ʰtʰ	T	pre-aspirated aspirated voiceless alveolar stop consonant	sca
ⁿt	T	pre-nasalized voiceless alveolar stop consonant	sca
t̚	T	unreleased voiceless alveolar stop consonant	sca
tⁿ	T	with-nasal-release voiceless alveolar stop consonant	sca
t̬	T	revoiced voiceless alveolar stop consonant	sca
ɺ	R	voiced alveolar lateral tap consonant	sca
ɾ	R	devoiced voiced alveolar tap consonant	sca
r	R	voiced alveolar trill consonant	sca
rː	R	long voiced alveolar trill consonant	sca
rˤ	R	pharyngealized voiced alveolar trill consonant	sca
r̩	R	syllabic voiced alveolar trill consonant	sca
r̥	R	devoiced voiced alveolar trill consonant	sca
lʱ	L	breathy voiced alveolar lateral approximant consonant	sca
rˤː	R	pharyngealized long voiced alveolar trill consonant	sca
ŋǃ	N	voiced alveolar nasal-click consonant	sca
ŋ̊ǃ	N	devoiced voiced alveolar nasal-click consonant	sca
ˀŋǃ	N	pre-glottalized voiced alveolar nasal-click consonant	sca
ⁿgǃ	K	pre-nasalized voiced alveolar nasal-click consonant	sca
ȶ	T	voiceless alveolo-palatal stop consonant	sca
ȡ	T	voiced alveolo-palatal stop consonant	sca
dʑ	C	voiced alveolo-palatal sibilant affricate consonant	sca
dʑː	T	long voiced alveolo-palatal sibilant affricate consonant	sca
tɕ	C	voiceless alveolo-palatal sibilant affricate consonant	sca
tɕʰ	C	aspirated voiceless alveolo-palatal sibilant affricate consonant	sca
tɕː	T	long voiceless alveolo-palatal sibilant affricate consonant	sca
ȴ	L	voiced alveolo-palatal lateral approximant consonant	sca
ʑ	S	voiced alveolo-palatal sibilant fricative consonant	sca
ɕ	S	voiceless alveolo-palatal sibilant fricative consonant	sca
ȵ	N	voiced alveolo-palatal nasal consonant	sca
ȵ̊	N	devoiced voiced alveolo-palatal nasal consonant	sca
bʲ	P	palatalized voiced bilabial stop consonant	sca
mʲ	M	palatalized voiced bilabial nasal consonant	sca
pʲ	P	palatalized voiceless bilabial stop consonant	sca
bβ	P	voiced bilabial affricate consonant	sca
pɸ	P	voiceless bilabial affricate consonant	sca
β̞	B	voiced bilabial approximant consonant	sca
β	B	voiced bilabial fricative consonant	sca
βʷ	B	labialized voiced bilabial fricative consonant	sca
ɸ	B	voiceless bilabial fricative consonant	sca
ɓ	P	voiced bilabial implosive consonant	sca
