ID	GRAPHEME	ALIASES	REPRESENTATION	TRANSCRIPTION_SYSTEMS	TRANSCRIPTION_DATA	SOUND_CLASSES
labialized glottalized voiceless velar stop consonant	kʷˀ	kʷˀ, kˀʷ	4	bipa, gld	phoible, ruhlen	asjp:k, color:#c89664, dolgo:K, prosody:1, sca:K
from voiced dental nasal to voiced dental sibilant fricative cluster	n̪z̪	n̪z̪	4	bipa	lapsyd, pbase, phoible	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
from voiced velar stop to voiced labio-dental fricative cluster	gv	gv, ɡv	4	asjp, bipa, gld	phoible	asjp:g, color:#c89664, dolgo:K, prosody:1, sca:K
devoiced voiced velar implosive consonant	ɠ̥	ɠ̥	4	bipa	diachronica, pbase, phoible	asjp:0, color:0, dolgo:0, prosody:0, sca:0
labialized aspirated voiceless palatal stop consonant	cʷʰ	Twh, cʰʷ, cʷʰ	4	asjp, bipa	nidaba, phoible	asjp:T, color:#c89664, dolgo:K, prosody:1, sca:C
pre-glottalized voiceless bilabial stop consonant	ˀp	ˀp	4	bipa, gld	phoible, ruhlen	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
from voiced alveolar nasal to aspirated voiceless alveolar stop cluster	ntʰ	nth, ntʰ	4	asjp, bipa, gld	phoible	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
nasalized voiced labio-dental fricative consonant	ṽ	ṽ	4	bipa, gld	lapsyd, phoible	asjp:v, color:#c864c8, dolgo:W, prosody:3, sca:B
from unrounded open-mid front to unrounded mid central diphthong	ɛə	ɛə	4	bipa, gld	lapsyd, phoible	asjp:E, color:#c86464, dolgo:V, prosody:7, sca:E
from voiced velar stop to long voiced bilabial stop cluster	gbː	gbː, ɡbː, ɡ͡bː	4	bipa, gld	nidaba, phoible	asjp:g, color:#c89664, dolgo:K, prosody:1, sca:K
from voiceless velar stop to long voiceless bilabial stop cluster	kpː	kpː, k͡pː	4	bipa, gld	nidaba, phoible	asjp:k, color:#c89664, dolgo:K, prosody:1, sca:K
labialized voiced dental implosive consonant	ɗʷ	ɗʷ	4	bipa	nidaba, pbase, phoible	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
from voiced bilabial nasal to palatalized voiceless bilabial stop cluster	mpʲ	mpʲ, mpʸ	4	bipa, gld	lapsyd, phoible	asjp:m, color:#64c896, dolgo:M, prosody:4, sca:M
palatalized labialized voiced velar stop consonant	gʲʷ	gʲʷ, gʸʷ, ɡʲʷ	4	bipa, gld	diachronica, phoible	asjp:g, color:#c89664, dolgo:K, prosody:1, sca:K
glottalized voiced alveolar lateral approximant consonant	lˀ	lˀ	4	bipa, gld	phoible, ruhlen	asjp:l, color:#6464c8, dolgo:R, prosody:5, sca:L
pre-aspirated voiced alveolar stop consonant	ʰd	ʰd	4	bipa, gld	phoible, ruhlen	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
long voiced retroflex lateral approximant consonant	ɭː	ɭː	4	bipa, gld	diachronica, phoible	asjp:L, color:#6464c8, dolgo:R, prosody:5, sca:L
rhotacized nasalized unrounded mid central vowel	ə̃˞	ə̃˞, ɚ̃	4	bipa, gld	nidaba, phoible	asjp:I, color:#c86464, dolgo:V, prosody:7, sca:E
long voiced uvular nasal consonant	ɴː	ɴː	4	bipa, gld	nidaba, phoible	asjp:N, color:#64c8c8, dolgo:N, prosody:4, sca:N
pre-aspirated voiceless uvular stop consonant	ʰq	ʰq	4	bipa, gld	lapsyd, phoible	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
long voiced uvular stop consonant	ɢː	ɢː	4	bipa, gld	nidaba, phoible	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
syllabic voiced alveolar stop consonant	d̩	d̩	4	bipa, gld	nidaba, phoible	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
syllabic labialized voiced velar nasal consonant	ŋ̩ʷ	ŋ̩ʷ	4	bipa, gld	nidaba, phoible	asjp:N, color:#64c8c8, dolgo:N, prosody:4, sca:N
syllabic voiced bilabial stop consonant	b̩	b̩	4	bipa, gld	nidaba, phoible	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
syllabic voiced velar fricative consonant	ɣ̩	ɣ̩	4	bipa, gld	nidaba, phoible	asjp:x, color:#c89664, dolgo:K, prosody:3, sca:G
syllabic voiced velar stop consonant	g̩	g̩, ɡ̩	4	bipa, gld	nidaba, phoible	asjp:g, color:#c89664, dolgo:K, prosody:1, sca:K
syllabic labialized voiced velar stop consonant	g̩ʷ	g̩ʷ, ɡ̩ʷ	4	bipa, gld	nidaba, phoible	asjp:g, color:#c89664, dolgo:K, prosody:1, sca:K
devoiced unrounded mid central vowel	ə̥	ə̥	4	bipa, gld	nidaba, phoible	asjp:I, color:#c86464, dolgo:V, prosody:7, sca:E
long voiceless uvular affricate consonant	qχː	q͡χː, qχː, qᵡː	4	bipa, gld	nidaba, phoible	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
long voiceless velar affricate consonant	kxː	kxː, kˣː, k͡xː	4	bipa, gld	nidaba, phoible	asjp:k, color:#c89664, dolgo:K, prosody:1, sca:K
ultra-short rounded close-mid front vowel	ø̆	ø̆	4	bipa	lapsyd, pbase, phoible	asjp:e, color:#c86464, dolgo:V, prosody:7, sca:U
from voiced uvular nasal to aspirated voiceless uvular stop cluster	ɴqʰ	ɴqʰ	4	bipa, gld	lapsyd, phoible	asjp:N, color:#64c8c8, dolgo:N, prosody:4, sca:N
from nasalized unrounded close central to nasalized unrounded close front diphthong	ɨ̃ĩ	ɨ̃ĩ	4	bipa, gld	lapsyd, phoible	asjp:I, color:#c86464, dolgo:V, prosody:7, sca:I
voiced bilabial ejective stop consonant	b’	bʼ, b’	4	bipa	diachronica, pbase, phoible	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
from rounded open-mid back to rounded close front diphthong	ɔy	ɔü, ɔy	4	bipa, gld	lapsyd, phoible	asjp:o, color:#c86464, dolgo:V, prosody:7, sca:U
from unrounded near-open front to rounded close central diphthong	æʉ	äʉ, æʉ	4	bipa, gld	lapsyd, phoible	asjp:E, color:#c86464, dolgo:V, prosody:7, sca:E
labialized pharyngealized voiceless uvular ejective stop consonant	q’ʷˤ	qʷˤʼ, qʼˤʷ, qˤʷʼ, q’ʷˤ	4	bipa	diachronica, pbase, phoible	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
pharyngealized voiced uvular stop consonant	ɢˤ	ɢˤ	4	bipa, gld	pbase, phoible	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
pharyngealized voiced dental lateral approximant consonant	l̪ˤ	l̪ˤ	4	bipa	lapsyd, pbase, phoible	asjp:l, color:#6464c8, dolgo:R, prosody:5, sca:L
labialized glottalized voiceless uvular stop consonant	qʷˀ	qʷˀ, qˀʷ	4	bipa, gld	phoible, ruhlen	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
glottalized voiceless uvular stop consonant	qˀ	qˀ	4	bipa, gld	phoible, ruhlen	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
labialized voiceless uvular ejective fricative consonant	χ’ʷ	χʷʼ, χ’ʷ	4	bipa	diachronica, lapsyd, phoible	asjp:G, color:#c89664, dolgo:K, prosody:3, sca:G
labialized voiceless velar ejective fricative consonant	x’ʷ	xʷʼ, x’ʷ	4	bipa	diachronica, lapsyd, phoible	asjp:x, color:#c89664, dolgo:K, prosody:3, sca:G
from voiced bilabial nasal to voiced labio-dental fricative cluster	mv	mv	4	asjp, bipa, gld	phoible	asjp:m, color:#64c896, dolgo:M, prosody:4, sca:M
long voiced alveolo-palatal sibilant fricative consonant	ʑː	ʑː	4	bipa, gld	nidaba, phoible	asjp:Z, color:#6496c8, dolgo:S, prosody:3, sca:S
pharyngealized voiced labialized-velar approximant consonant	wˤ	wˤ	4	bipa, gld	pbase, phoible	asjp:w, color:#c864c8, dolgo:W, prosody:6, sca:W
pre-glottalized voiceless alveolar stop consonant	ˀt	ˀt	4	bipa, gld	phoible, ruhlen	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
from voiced velar nasal to voiced bilabial stop cluster	ŋb	Nb, ŋb	4	asjp, bipa, gld	phoible	asjp:N, color:#64c8c8, dolgo:N, prosody:4, sca:N
aspirated voiced retroflex nasal consonant	ɳʰ	ɳʰ	4	bipa, gld	nidaba, phoible	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
glottalized unrounded close-mid front vowel	eˀ	eˀ	4	bipa, gld	lapsyd, phoible	asjp:e, color:#c86464, dolgo:V, prosody:7, sca:E
glottalized unrounded open front vowel	aˀ	aˀ	4	bipa, gld	lapsyd, phoible	asjp:a, color:#c86464, dolgo:V, prosody:7, sca:A
glottalized rounded close-mid back vowel	oˀ	oˀ	4	bipa, gld	lapsyd, phoible	asjp:o, color:#c86464, dolgo:V, prosody:7, sca:U
glottalized unrounded close front vowel	iˀ	iˀ	4	bipa, gld	lapsyd, phoible	asjp:i, color:#c86464, dolgo:V, prosody:7, sca:I
from rounded close back to unrounded close central diphthong	uɨ	uɨ	4	bipa, gld	lapsyd, phoible	asjp:u, color:#c86464, dolgo:V, prosody:7, sca:Y
from unrounded close front to unrounded close central diphthong	iɨ	iɨ	4	bipa, gld	lapsyd, phoible	asjp:i, color:#c86464, dolgo:V, prosody:7, sca:I
velarized voiced dental fricative consonant	ðˠ	ðˠ	4	bipa, gld	pbase, phoible	asjp:8, color:#9664c8, dolgo:T, prosody:3, sca:D
devoiced unrounded close central vowel	ɨ̥	ɨ̥	4	bipa, gld	nidaba, phoible	asjp:I, color:#c86464, dolgo:V, prosody:7, sca:I
labialized long voiced velar nasal consonant	ŋʷː	ŋʷː	4	bipa, gld	nidaba, phoible	asjp:N, color:#64c8c8, dolgo:N, prosody:4, sca:N
from voiceless alveolar stop to aspirated voiceless palatal sibilant fricative cluster	tçʰ	tçʰ, tçʰ	4	bipa	lapsyd, pbase, phoible	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
from nasalized unrounded close-mid front to nasalized unrounded close front diphthong	ẽĩ	ẽĩ	4	bipa, gld	lapsyd, phoible	asjp:e, color:#c86464, dolgo:V, prosody:7, sca:E
from nasalized rounded close-mid back to nasalized rounded close back diphthong	õũ	õũ	4	bipa, gld	lapsyd, phoible	asjp:o, color:#c86464, dolgo:V, prosody:7, sca:U
palatalized long voiceless glottal stop consonant	ʔʲː	ʔʲː, ʔʸː	4	bipa, gld	nidaba, phoible	asjp:7, color:#96c864, dolgo:H, prosody:1, sca:H
breathy voiceless alveolar stop consonant	tʱ	tɦ, tʱ	4	bipa, gld	phoible, ruhlen	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
breathy voiceless bilabial stop consonant	pʱ	pɦ, pʱ	4	bipa, gld	phoible, ruhlen	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
long creaky unrounded open front vowel	a̰ː	a̰ː	4	bipa	lapsyd, pbase, phoible	asjp:a, color:#c86464, dolgo:V, prosody:7, sca:A
from voiceless bilabial stop to aspirated voiceless alveolar sibilant fricative cluster	psʰ	psh, psʰ	4	asjp, bipa, gld	phoible	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
long devoiced unrounded close-mid front vowel	e̥ː	e̥ː	4	bipa, gld	nidaba, phoible	asjp:e, color:#c86464, dolgo:V, prosody:7, sca:E
pharyngealized long voiced alveolar nasal consonant	nˤː	nˤː	4	bipa, gld	pbase, phoible	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
pharyngealized unrounded close-mid front vowel	eˤ	eˤ	4	bipa, gld	pbase, phoible	asjp:e, color:#c86464, dolgo:V, prosody:7, sca:E
pharyngealized nasalized rounded close-mid back vowel	õˤ	õˤ	4	bipa, gld	pbase, phoible	asjp:o, color:#c86464, dolgo:V, prosody:7, sca:U
pharyngealized nasalized rounded close back vowel	ũˤ	ũˤ	4	bipa, gld	pbase, phoible	asjp:u, color:#c86464, dolgo:V, prosody:7, sca:Y
from voiced alveolar nasal to voiceless dental fricative cluster	nθ	n8, nθ	4	asjp, bipa, gld	phoible	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
from rounded open-mid front to rounded close back diphthong	œu	öu, œu	4	bipa, gld	pbase, phoible	asjp:E, color:#c86464, dolgo:V, prosody:7, sca:U
with-lateral-release voiced alveolar stop consonant	dˡ	dˡ	4	bipa, gld	multimedia, ruhlen	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
from voiceless velar stop to voiceless alveolar stop cluster	kt	kt	4	asjp, bipa, gld	ruhlen	asjp:k, color:#c89664, dolgo:K, prosody:1, sca:K
with-lateral-release voiced bilabial nasal consonant	mˡ	mˡ	4	bipa, gld	pbase, ruhlen	asjp:m, color:#64c896, dolgo:M, prosody:4, sca:M
with-lateral-release voiceless bilabial stop consonant	pˡ	pˡ	4	bipa, gld	pbase, ruhlen	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
non-syllabic unrounded open back vowel	ɑ̯	ɑ̯	4	bipa, gld	nidaba, ruhlen	asjp:o, color:#c86464, dolgo:V, prosody:7, sca:A
from voiced velar stop to voiced alveolar stop cluster	gd	gd, ɡd	4	asjp, bipa, gld	ruhlen	asjp:g, color:#c89664, dolgo:K, prosody:1, sca:K
aspirated voiceless alveolar lateral fricative consonant	ɬʰ	ɬʰ	4	bipa, gld	diachronica, ruhlen	asjp:L, color:#6464c8, dolgo:R, prosody:5, sca:L
pre-nasalized palatalized voiced alveolar stop consonant	ⁿdʲ	ⁿdʲ, ⁿdʸ	4	bipa, gld	pbase, ruhlen	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
pre-nasalized voiceless alveolar sibilant fricative consonant	ⁿs	ⁿs	4	bipa, gld	pbase, ruhlen	asjp:s, color:#6496c8, dolgo:S, prosody:3, sca:S
pre-nasalized voiced alveolar sibilant fricative consonant	ⁿz	ⁿz	4	bipa, gld	pbase, ruhlen	asjp:z, color:#6496c8, dolgo:S, prosody:3, sca:S
from voiced bilabial stop to voiced post-alveolar sibilant fricative cluster	bʒ	bZ, bž, bʒ	4	asjp, bipa, gld	pbase	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
from voiced bilabial stop to voiced post-alveolar sibilant affricate cluster	bdʒ	bdʒ, bj, bǯ, b͡dʒ	4	asjp, bipa, gld	pbase	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
from voiced bilabial stop to voiceless post-alveolar sibilant affricate cluster	btʃ	bC, bč, btʃ, b͡tʃ	4	asjp, bipa, gld	pbase	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
pharyngealized voiceless labio-dental fricative consonant	fˤ	fˤ	4	bipa, gld	lapsyd, pbase	asjp:f, color:#c8c864, dolgo:P, prosody:3, sca:B
labialized long voiceless glottal fricative consonant	hʷː	hʷː	4	bipa, gld	nidaba, pbase	asjp:h, color:#96c864, dolgo:H, prosody:3, sca:H
aspirated devoiced voiced bilabial nasal consonant	m̥ʰ	m̥ʰ	4	bipa, gld	nidaba, pbase	asjp:m, color:#64c896, dolgo:M, prosody:4, sca:M
from voiceless bilabial stop to voiced labio-dental fricative cluster	pv	pv	4	asjp, bipa, gld	pbase	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
from voiceless bilabial stop to voiceless velar stop cluster	pk	pk, p͡k	4	asjp, bipa, gld	pbase	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
from voiceless bilabial stop to voiceless alveolar sibilant affricate cluster	pts	pc, pts, p͡ts	4	asjp, bipa, gld	pbase	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
labialized pharyngealized voiceless uvular stop consonant	qʷˤ	qʷˤ, qˤʷ	4	bipa, gld	diachronica, pbase	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
from voiceless alveolar stop to voiced alveolar sibilant fricative cluster	tz	tz	4	asjp, bipa, gld	pbase	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
aspirated devoiced voiced velar nasal consonant	ŋ̥ʰ	ŋ̥ʰ	4	bipa, gld	nidaba, pbase	asjp:N, color:#64c8c8, dolgo:N, prosody:4, sca:N
devoiced rounded open-mid back vowel	ɔ̥	ɔ̥	4	bipa, gld	nidaba, pbase	asjp:o, color:#c86464, dolgo:V, prosody:7, sca:U
devoiced unrounded open-mid front vowel	ɛ̥	ɛ̥	4	bipa, gld	nidaba, pbase	asjp:E, color:#c86464, dolgo:V, prosody:7, sca:E
labialized voiced velar implosive consonant	ɠʷ	ɠʷ	4	bipa	diachronica, nidaba, pbase	asjp:0, color:0, dolgo:0, prosody:0, sca:0
from voiced velar stop to voiceless bilabial stop cluster	gp	gp, ɡ͡p	4	asjp, bipa, gld	pbase	asjp:g, color:#c89664, dolgo:K, prosody:1, sca:K
nasalized voiced glottal fricative consonant	ɦ̃	ɦ̃	4	bipa, gld	lapsyd, pbase	asjp:h, color:#96c864, dolgo:H, prosody:3, sca:H
aspirated devoiced voiced palatal nasal consonant	ɲ̥ʰ	ɲ̥ʰ	4	bipa, gld	nidaba, pbase	asjp:H, color:#64c8c8, dolgo:N, prosody:4, sca:N
labialized voiced retroflex nasal consonant	ɳʷ	ɳʷ	4	bipa, gld	nidaba, pbase	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
palatalized aspirated voiceless retroflex stop consonant	ʈʲʰ	ʈʰʲ, ʈʲʰ, ʈʸʰ	4	bipa, gld	nidaba, pbase	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
nasalized voiced labio-dental approximant consonant	ʋ̃	ʋ̃	4	bipa, gld	diachronica, pbase	asjp:w, color:#c864c8, dolgo:W, prosody:6, sca:W
aspirated voiced post-alveolar sibilant fricative consonant	ʒʰ	Zh, žʰ, ʒʰ	4	asjp, bipa, gld	pbase	asjp:Z, color:#6496c8, dolgo:S, prosody:3, sca:S
from voiceless glottal stop to voiced bilabial stop cluster	ʔb	7b, ʔb	4	asjp, bipa, gld	pbase	asjp:7, color:#96c864, dolgo:H, prosody:1, sca:H
from voiceless glottal stop to voiced alveolar stop cluster	ʔd	7d, ʔd	4	asjp, bipa, gld	pbase	asjp:7, color:#96c864, dolgo:H, prosody:1, sca:H
from voiceless glottal stop to voiceless velar stop cluster	ʔk	7k, ʔk	4	asjp, bipa, gld	pbase	asjp:7, color:#96c864, dolgo:H, prosody:1, sca:H
from voiceless glottal stop to voiceless bilabial stop cluster	ʔp	7p, ʔp	4	asjp, bipa, gld	pbase	asjp:7, color:#96c864, dolgo:H, prosody:1, sca:H
from voiceless glottal stop to voiceless alveolar stop cluster	ʔt	7t, ʔt	4	asjp, bipa, gld	pbase	asjp:7, color:#96c864, dolgo:H, prosody:1, sca:H
from unrounded mid central to unrounded open front diphthong	əa	3E, əa	4	asjp, bipa, gld	lapsyd	asjp:I, color:#c86464, dolgo:V, prosody:7, sca:E
from voiced bilabial nasal to labialized voiceless bilabial stop cluster	mpʷ	mpw, mpʷ	4	asjp, bipa, gld	lapsyd	asjp:m, color:#64c896, dolgo:M, prosody:4, sca:M
palatalized labialized voiceless bilabial stop consonant	pʲʷ	pʲʷ, pʷʲ, pʸʷ	4	bipa, gld	diachronica, lapsyd	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
pharyngealized voiceless post-alveolar sibilant fricative consonant	ʃˤ	šˤ, ʃˤ	4	bipa, gld	diachronica, lapsyd	asjp:S, color:#6496c8, dolgo:S, prosody:3, sca:S
palatalized voiced uvular stop consonant	ɢʲ	ɢʲ, ɢʸ	4	bipa, gld	diachronica, nidaba	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
labialized voiceless dental fricative consonant	θʷ	8w, θʷ	4	asjp, bipa, gld	nidaba	asjp:8, color:#9664c8, dolgo:T, prosody:3, sca:D
labialized aspirated voiced bilabial stop consonant	bʷʰ	bwh, bʰʷ, bʷʰ	4	asjp, bipa, gld	nidaba	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
labialized aspirated voiced bilabial nasal consonant	mʷʰ	mwh, mʰʷ, mʷʰ	4	asjp, bipa, gld	nidaba	asjp:m, color:#64c896, dolgo:M, prosody:4, sca:M
labialized aspirated voiced alveolar stop consonant	dʷʰ	dwh, dʰʷ, dʷʰ	4	asjp, bipa, gld	nidaba	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
labialized aspirated voiced alveolar nasal consonant	nʷʰ	nwh, nʰʷ, nʷʰ	4	asjp, bipa, gld	nidaba	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
labialized aspirated voiced palatal nasal consonant	ɲʷʰ	5wh, ɲʰʷ, ɲʷʰ	4	asjp, bipa, gld	nidaba	asjp:H, color:#64c8c8, dolgo:N, prosody:4, sca:N
labialized aspirated voiced velar nasal consonant	ŋʷʰ	Nwh, ŋʰʷ, ŋʷʰ	4	asjp, bipa, gld	nidaba	asjp:N, color:#64c8c8, dolgo:N, prosody:4, sca:N
labialized aspirated voiceless glottal stop consonant	ʔʷʰ	7wh, ʔʰʷ, ʔʷʰ	4	asjp, bipa, gld	nidaba	asjp:7, color:#96c864, dolgo:H, prosody:1, sca:H
labialized voiceless alveolo-palatal sibilant fricative consonant	ɕʷ	ɕʷ, ʆʷ	4	bipa, gld	diachronica, nidaba	asjp:S, color:#6496c8, dolgo:S, prosody:3, sca:S
labialized voiced alveolo-palatal sibilant fricative consonant	ʑʷ	ʑʷ	4	bipa, gld	diachronica, nidaba	asjp:Z, color:#6496c8, dolgo:S, prosody:3, sca:S
from voiced velar stop to aspirated voiced bilabial stop cluster	gbʰ	gbh, gbʰ, ɡ͡bʰ	4	asjp, bipa, gld	nidaba	asjp:g, color:#c89664, dolgo:K, prosody:1, sca:K
from voiceless bilabial stop to aspirated voiceless alveolar stop cluster	ptʰ	pth, ptʰ, p͡tʰ	4	asjp, bipa, gld	nidaba	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
from voiced bilabial stop to aspirated voiced alveolar stop cluster	bdʰ	bdh, bdʰ, b͡dʰ	4	asjp, bipa, gld	nidaba	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
from voiceless bilabial stop to labialized voiceless alveolar stop cluster	ptʷ	ptw, ptʷ, p͡tʷ	4	asjp, bipa, gld	nidaba	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
from voiced bilabial stop to labialized voiced alveolar stop cluster	bdʷ	bdw, bdʷ, b͡dʷ	4	asjp, bipa, gld	nidaba	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
long voiced retroflex nasal consonant	ɳː	ɳː	4	bipa, gld	diachronica, nidaba	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
syllabic long voiced alveolar nasal consonant	n̩ː	n̩ː	4	bipa, gld	diachronica, nidaba	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
palatalized long voiceless uvular stop consonant	qʲː	qʲː, qʸː	4	bipa, gld	diachronica, nidaba	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
labialized long voiceless alveolar stop consonant	tʷː	tʷː	4	bipa, gld	diachronica, nidaba	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
labialized long voiceless alveolar sibilant fricative consonant	sʷː	sʷː	4	bipa, gld	diachronica, nidaba	asjp:s, color:#6496c8, dolgo:S, prosody:3, sca:S
labialized long voiceless alveolar lateral fricative consonant	ɬʷː	ɬʷː	4	bipa, gld	diachronica, nidaba	asjp:L, color:#6464c8, dolgo:R, prosody:5, sca:L
labialized long voiceless alveolo-palatal sibilant fricative consonant	ɕʷː	ɕʷː, ʆʷː	4	bipa, gld	diachronica, nidaba	asjp:S, color:#6496c8, dolgo:S, prosody:3, sca:S
palatalized labialized pharyngealized voiceless uvular stop consonant	qʲʷˤ	qʲʷˤ, qʸʷˤ, qˤʲʷ, qˤʷʲ	4	bipa, gld	diachronica	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
labialized aspirated voiceless post-alveolar sibilant fricative consonant	ʃʷʰ	Swh, šʷʰ, ʃʷʰ	4	asjp, bipa, gld	diachronica	asjp:S, color:#6496c8, dolgo:S, prosody:3, sca:S
palatalized labialized voiceless velar fricative consonant	xʲʷ	xʲʷ, xʷʲ, xʸʷ	4	bipa, gld	diachronica	asjp:x, color:#c89664, dolgo:K, prosody:3, sca:G
palatalized labialized voiced alveolar sibilant fricative consonant	zʲʷ	zʲʷ, zʷʲ, zʸʷ	4	bipa, gld	diachronica	asjp:z, color:#6496c8, dolgo:S, prosody:3, sca:S
palatalized labialized voiced velar fricative consonant	ɣʲʷ	ɣʲʷ, ɣʷʲ, ɣʸʷ	4	bipa, gld	diachronica	asjp:x, color:#c89664, dolgo:K, prosody:3, sca:G
palatalized labialized voiceless alveolar lateral fricative consonant	ɬʲʷ	ɬʲʷ, ɬʷʲ, ɬʸʷ	4	bipa, gld	diachronica	asjp:L, color:#6464c8, dolgo:R, prosody:5, sca:L
palatalized labialized long voiceless alveolar lateral fricative consonant	ɬʲʷː	ɬʲʷː, ɬʷʲː, ɬʸʷː	4	bipa, gld	diachronica	asjp:L, color:#6464c8, dolgo:R, prosody:5, sca:L
revoiced voiceless alveolar sibilant fricative consonant	s̬	C, s̬	3	bipa	cv, multimedia	asjp:s, color:#6496c8, dolgo:S, prosody:3, sca:S
long breathy voiced alveolar stop consonant	dʱː	C, dʱː, dːʱ, d̤ː	3	bipa	cv, diachronica	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
unreleased devoiced voiced alveolar stop consonant	d̥̚	C, d̥̚	3	bipa, gld	cv	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
with-nasal-release devoiced voiced alveolar stop consonant	d̥ⁿ	C, d̥ⁿ	3	bipa, gld	cv	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
unreleased voiceless alveolar stop consonant	t̚	C, t̚	3	bipa, gld	cv	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
revoiced voiceless alveolar stop consonant	t̬	C, t̬	3	bipa	cv, multimedia	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
voiceless alveolo-palatal stop consonant	ȶ	C, t̂, ȶ	3	bipa	beijingdaxue, cv	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
voiced alveolo-palatal stop consonant	ȡ	C, d̂, ȡ	3	bipa	beijingdaxue, cv	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
aspirated devoiced voiced bilabial stop consonant	b̥ʰ	C, b̥ʰ	3	bipa, gld	cv	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
unreleased voiceless bilabial stop consonant	p̚	C, p̚	3	bipa, gld	cv	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
syllabic voiced bilabial trill consonant	ʙ̩	C, ʙ̩	3	bipa	cv, nidaba	asjp:b, color:#c864c8, dolgo:W, prosody:3, sca:B
devoiced voiced bilabial trill consonant	ʙ̥	C, ʙ̥	3	bipa	cv, nidaba	asjp:b, color:#c864c8, dolgo:W, prosody:3, sca:B
voiceless dental ejective sibilant affricate consonant	ts̪ʼ	C, ts̪ʼ, t̪s̪ʼ	3	bipa	cv, lapsyd	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
palatalized voiceless dental sibilant affricate consonant	ts̪ʲ	C, ts̪ʲ, t̪s̪ʲ	3	bipa	cv, lapsyd	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
voiceless dental ejective lateral fricative consonant	ɬ̪ʼ	C, ɬ̪ʼ	3	bipa	cv, phoible	asjp:L, color:#6464c8, dolgo:R, prosody:5, sca:L
