GRAPHEME
ɻ
ɽ
ɽʰ
ɾ
ɾð
ɾʲ
ɾˡ
ɾˤ
ɾ̃
ɾ̪
ɾ̪ˤ
ʀ
ʀʼ
ʁ
ʁʲ
ʁʷ
ʁː
ʁˤ
ʁˤʷ
ʂ
ʂʰ
ʃ
ʃtʃ
ʃʲ
ʃʷ
ʃʼ
ʃʼʷ
ʃː
ʃ̀
ʃ̥ʷ
ʃ͡kʷ
ʄ
ʄ̥
ʈ
ʈɽ
ʈʂ
ʈʂʰ
ʈʂʼ
ʈʰ
ʈʲ
ʈʲʰ
ʈⁿ
ʉ
ʉ̟ː
ʊ
ʊɔ
ʊʏ̯
ʊː
ʊ̃
ʊ̃ː
ʊ̘
ʊ̥
ʋ
ʋ*
ʋʰ
ʋʲ
ʋ̃
ʌ
ʌː
ʌ̃
ʌ̃ː
ʌ̆
ʌ̝
ʌ̤
ʌ̤ː
ʍ
ʎ
ʎ̥
ʏ
ʐ
ʑ
ʒ
ʒʰ
ʒʲ
ʒʷ
ʒː
ʒ̤
ʒ̥
ʒ̥ʷ
ʒ͡ɣw
ʔ
ʔb
ʔd
ʔj
ʔk
ʔl
ʔm
ʔn
ʔp
ʔt
ʔw
ʔǀn
ʔǁn
ʔǂn
ʔǃn
ʔʘn
ʔʷ
ʔˤ
ʕ
ʕʷ
ʕʼ
ʕʼʷ
ʘ
ʘkxʔ
ʘn
ʘn̥
ʘq
ʘqʔ
ʘqʰ
ʘx
ʘʔ
ʘʰ
ʛ
ʝ
ʝʼ
β
βm
θ
θʼ
χ
χʲ
χʷ
χː
χˤ
χˤʷ
χ̀
χ̀ʷ
ⁿc
ⁿd
ⁿdl
ⁿdlʼ
ⁿdz
ⁿdɮ
ⁿdʒ
ⁿdʲ
ⁿdʷ
ⁿd̪
ⁿdβ
ⁿk
ⁿr
ⁿs
ⁿt
ⁿts
ⁿtsʼ
ⁿtɬ
ⁿtɸ
ⁿtʃ
ⁿtʃʰʷ
ⁿtʃʷ
ⁿtʃʼ
ⁿtʰ
ⁿz
ⁿǀ
ⁿɖ
ⁿɟ
ⁿɡʷ
ⁿɬ
ⁿɮ
ⁿʃ
ⁿʒ
b
bʲ
bʷ
d
dz
dʒ
f
k͡p
l
p
pʰ
pʼ
t
ts
tʃ
v
ɡ
ɡ͡b
ɬ
ɲ
ʃ
b
c
k
kʰ
ɡ
ɡʷ
ɡ͡b
ɡ͡b
