ID	non_ipa	ipa	chart	height/manner	place/color	misc1	misc2
1	ndz	ⁿdz	consonant	affricate	alveolar	voiced	prenasalized
2	nts	ⁿts	consonant	affricate	alveolar	voiceless	prenasalized
3	nts'	ⁿtsʼ	consonant	affricate	alveolar	voiceless	glottalized_prenasalized
4	nts’	ⁿtsʼ	consonant	affricate	alveolar	voiceless	glottalized_prenasalized
5	dz	dz	consonant	affricate	alveolar	voiced	plain
6	dzH	dzʰ	consonant	affricate	alveolar	voiced	aspirated
7	dzw	dzʷ	consonant	affricate	alveolar	voiced	labialized
8	dz'	dzʼ	consonant	affricate	alveolar	voiced	glottalized
9	dz’	dzʼ	consonant	affricate	alveolar	voiced	glottalized
10	dzj	dzʲ	consonant	affricate	alveolar	voiced	palatalized
11	mdz	dz	consonant	affricate	alveolar	voiced	labial_prenasalized
12	mts	ts	consonant	affricate	alveolar	voiceless	labial_prenasalized
13	ts	ts	consonant	affricate	alveolar	voiceless	plain
14	tsH	tsʰ	consonant	affricate	alveolar	voiceless	aspirated
15	tshw	tsʰʷ	consonant	affricate	alveolar	voiceless	aspirated_labialized
16	tsw	tsʷ	consonant	affricate	alveolar	voiceless	labialized
17	ts'	tsʼ	consonant	affricate	alveolar	voiceless	glottalized
18	ts’	tsʼ	consonant	affricate	alveolar	voiceless	glottalized
19	ts’w	tsʼʷ	consonant	affricate	alveolar	voiceless	glottalized_labialized
20	ts'w	tsʼʷ	consonant	affricate	alveolar	voiceless	glottalized_labialized
21	tsj	tsʲ	consonant	affricate	alveolar	voiceless	palatalized
22	ts$	ts̀	consonant	affricate	alveolar	voiceless	tense
23	tsjh	tsjʰ	consonant	affricate	alveolar	voiceless	aspirated_palatalized
24	tswh	tswʰ	consonant	affricate	alveolar	voiceless	aspirated_labialized
25	tz	tz	consonant	affricate	alveolar	voiceless_to_voiced	plain
26	tz'	tzʼ	consonant	affricate	alveolar	voiceless_to_voiced	glottalized
27	tz’	tzʼ	consonant	affricate	alveolar	voiceless_to_voiced	glottalized
28	tþç	tɕɥ	consonant	affricate	alveolar_to_alveolopalatal	voiceless	labiopalatalized
29	ndB	ⁿdβ	consonant	affricate	alveolar_to_bilabial	voiced	prenasalized
30	nt¸	ⁿtɸ	consonant	affricate	alveolar_to_bilabial	voiceless	prenasalized
31	dB	dβ	consonant	affricate	alveolar_to_bilabial	voiced	plain
32	t¸h	tɸʰ	consonant	affricate	alveolar_to_bilabial	voiceless	aspirated
33	tT'	tθʼ	consonant	affricate	alveolar_to_dental	voiceless	glottalized
34	tT’	tθʼ	consonant	affricate	alveolar_to_dental	voiceless	glottalized
35	dD	dð	consonant	affricate	alveolar_to_interdental	voiced	plain
36	tT	tθ	consonant	affricate	alveolar_to_interdental	voiceless	plain
37	dÆ	dʝ	consonant	affricate	alveolar_to_palatal	voiced	plain
38	tC	tç	consonant	affricate	alveolar_to_palatal	voiceless	plain
39	tCh	tçʰ	consonant	affricate	alveolar_to_palatal	voiceless	aspirated
40	d½	dʐ	consonant	affricate	alveolar_to_retroflex	voiced	plain
41	t§	tʂ	consonant	affricate	alveolar_to_retroflex	voiceless	plain
42	t§'	tʂʼ	consonant	affricate	alveolar_to_retroflex	voiceless	glottalized
43	t§’	tʂʼ	consonant	affricate	alveolar_to_retroflex	voiceless	glottalized
44	dƒÄw	dɣw	consonant	affricate	alveolar_to_velar	voiced	labialized
45	dx	dx	consonant	affricate	alveolar_to_velar	voiced_to_voiceless	plain
46	tx	tx	consonant	affricate	alveolar_to_velar	voiceless	plain
47	dü	dʑ	consonant	affricate	alveolopalatal	voiced	plain
48	düç	dʑɥ	consonant	affricate	alveolopalatal	voiced	labiopalatalized
49	tþ	tɕ	consonant	affricate	alveolopalatal	voiceless	plain
50	tþH	tɕʰ	consonant	affricate	alveolopalatal	voiceless	aspirated
51	ttS	tːʃ	consonant	affricate	alveolopalatal	voiceless_long	plain
52	ttSS	tːʃː	consonant	affricate	alveolopalatal	voiceless_extra_long	plain
53	p¸	pɸ	consonant	affricate	bilabial	voiceless	plain
54	bƒz	bz	consonant	affricate	bilabial_to_alveolar	voiced	plain
55	bz	bz	consonant	affricate	bilabial_to_alveolar	voiced	plain
56	pƒs	ps	consonant	affricate	bilabial_to_alveolar	voiceless	plain
57	ps	ps	consonant	affricate	bilabial_to_alveolar	voiceless	plain
58	bƒL	bɮ	consonant	affricate	bilabial_to_lateral	voiced	plain
59	bZ	bʒ	consonant	affricate	bilabial_to_postalveolar	voiced	plain
60	pSh	pʃʰ	consonant	affricate	bilabial_to_postalveolar	voiceless	aspirated
61	pS'	pʃʼ	consonant	affricate	bilabial_to_postalveolar	voiceless	glottalized
62	pS’	pʃʼ	consonant	affricate	bilabial_to_postalveolar	voiceless	glottalized
63	d5z5	d̪z̪	consonant	affricate	dental	voiced	plain
64	d5z5w	d̪z̪ʷ	consonant	affricate	dental	voiced	labialized
65	d5z5j	d̪z̪ʲ	consonant	affricate	dental	voiced	palatalized
66	t5s5	t̪s̪	consonant	affricate	dental	voiceless	plain
67	t5s5:	t̪s̪ː	consonant	affricate	dental	voiceless_long	plain
68	t5s5ú	t̪s̪ɦ	consonant	affricate	dental	voiceless	voiced_aspirated
69	t5s5h	t̪s̪ʰ	consonant	affricate	dental	voiceless	aspirated
70	t5s5hw	t̪s̪ʰʷ	consonant	affricate	dental	voiceless	aspirated_labialized
71	t5s5'	t̪s̪ʼ	consonant	affricate	dental	voiceless	glottalized
72	t5s5’	t̪s̪ʼ	consonant	affricate	dental	voiceless	glottalized
73	t5s5j	t̺s̺ʲ	consonant	affricate	dental	voiceless	palatalized
74	d5Z	d̪ʒ	consonant	affricate	dental_to_postalveolar	voiced	plain
75	t5S	t̪ʃ	consonant	affricate	dental_to_postalveolar	voiceless	plain
76	d5D	d̪ð	consonant	affricate	interdental	voiced	plain
77	t5T	t̪θ	consonant	affricate	interdental	voiceless	plain
78	bv	bv	consonant	affricate	labiodental	voiced	plain
79	pf	pf	consonant	affricate	labiodental	voiceless	plain
80	pfH	pfʰ	consonant	affricate	labiodental	voiceless	aspirated
81	pv	pv	consonant	affricate	labiodental	voiceless_to_voiced	plain
82	bƒC	b͡ç	consonant	affricate	labiopalatal	voiced_to_voiceless	plain
83	bƒÆ	b͡ʝ	consonant	affricate	labiopalatal	voiced	plain
84	t6s6	t̻s̻	consonant	affricate	laminal_alveolar	voiceless	plain
85	d6ü	d̻ʑ	consonant	affricate	laminal_alveolar_to_alveolopalatal	voiced	plain
86	t6þ	t̻ɕ	consonant	affricate	laminal_alveolar_to_alveolopalatal	voiceless	plain
87	t6þh	t̻ɕʰ	consonant	affricate	laminal_alveolar_to_alveolopalatal	voiceless	aspirated
88	t6þ'	t̻ɕʼ	consonant	affricate	laminal_alveolar_to_alveolopalatal	voiceless	glottalized
89	t6þ’	t̻ɕʼ	consonant	affricate	laminal_alveolar_to_alveolopalatal	voiceless	glottalized
90	d6Z6	d̻ʒ̻	consonant	affricate	laminal_alveolar_to_laminal_postalveolar	voiced	plain
91	t6S6	t̻ʃ̻	consonant	affricate	laminal_postalveolar	voiceless	plain
92	ndL	ⁿdɮ	consonant	affricate	lateral	voiced	prenasalized
93	ntÂ	ⁿtɬ	consonant	affricate	lateral	voiceless	prenasalized
94	tÂ	tɬ	consonant	affricate	lateral	voiceless	plain
95	tÂh	tɬʰ	consonant	affricate	lateral	voiceless	aspirated
96	tÂ'	tɬʼ	consonant	affricate	lateral	voiceless	glottalized
97	tÂ’	tɬʼ	consonant	affricate	lateral	voiceless	glottalized
98	cC	cç	consonant	affricate	palatal	voiceless	plain
99	cCh	cçʰ	consonant	affricate	palatal	voiceless	aspirated
100	cC'	cçʼ	consonant	affricate	palatal	voiceless	glottalized
101	cC’	cçʼ	consonant	affricate	palatal	voiceless	glottalized
102	ïÆ	ɟʝ	consonant	affricate	palatal	voiced	plain
103	cþ	cɕ	consonant	affricate	palatal_to_alveolopalatal	voiceless	plain
104	cþH	cɕʰ	consonant	affricate	palatal_to_alveolopalatal	voiceless	aspirated
105	cþ'	cɕʼ	consonant	affricate	palatal_to_alveolopalatal	voiceless	glottalized
106	cþ’	cɕʼ	consonant	affricate	palatal_to_alveolopalatal	voiceless	glottalized
107	c$þ	c̀ɕ	consonant	affricate	palatal_to_alveolopalatal	voiceless	tense
108	ïü	ɟʑ	consonant	affricate	palatal_to_alveolopalatal	voiced	plain
109	cS	cʃ	consonant	affricate	palatal_to_postalveolar	voiceless	plain
110	ø8cS	ɲ̥cʃ	consonant	affricate	palatal_to_postalveolar	voiceless	voiceless_prenasalized
111	ødZ	ⁿdʒ	consonant	affricate	postalveolar	voiced	prenasalized
112	ndZ	ⁿdʒ	consonant	affricate	postalveolar	voiced	prenasalized
113	ntS	ⁿtʃ	consonant	affricate	postalveolar	voiceless	prenasalized
114	ntSHW	ⁿtʃʰʷ	consonant	affricate	postalveolar	voiceless	aspirated_labialized_prenasalized
115	ntSW	ⁿtʃʷ	consonant	affricate	postalveolar	voiceless	labialized_prenasalized
116	ntS'	ⁿtʃʼ	consonant	affricate	postalveolar	voiceless	glottalized_prenasalized
117	ntS’	ⁿtʃʼ	consonant	affricate	postalveolar	voiceless	glottalized_prenasalized
118	dZ	dʒ	consonant	affricate	postalveolar	voiced	plain
119	dZH	dʒʰ	consonant	affricate	postalveolar	voiced	aspirated
120	dZw	dʒʷ	consonant	affricate	postalveolar	voiced	labialized
121	dZj	dʒʲ	consonant	affricate	postalveolar	voiced	palatalized
122	ddZ	dːʒ	consonant	affricate	postalveolar	voiced_long	plain
123	mdZ	dʒ	consonant	affricate	postalveolar	voiced	labial_prenasalized
124	mtS	tʃ	consonant	affricate	postalveolar	voiceless	labial_prenasalized
125	tS	tʃ	consonant	affricate	postalveolar	voiceless	plain
126	tSú	tʃɦ	consonant	affricate	postalveolar	voiceless	voiced_aspirated
127	tSÖ	tʃˤ	consonant	affricate	postalveolar	voiceless	pharyngealized
128	tSH	tʃʰ	consonant	affricate	postalveolar	voiceless	aspirated
129	tSHW	tʃʰʷ	consonant	affricate	postalveolar	voiceless	aspirated_labialized
130	tSW	tʃʷ	consonant	affricate	postalveolar	voiceless	labialized
131	tSw'	tʃʷʼ	consonant	affricate	postalveolar	voiceless	glottalized_labialized
132	tSw’	tʃʷʼ	consonant	affricate	postalveolar	voiceless	glottalized_labialized
133	tS'	tʃʼ	consonant	affricate	postalveolar	voiceless	glottalized
134	tSʼ	tʃʼ	consonant	affricate	postalveolar	voiceless	glottalized
135	tSj	tʃʲ	consonant	affricate	postalveolar	voiceless	palatalized
136	tS$	tʃ̀	consonant	affricate	postalveolar	voiceless	tense
137	ÿ§	ʈʂ	consonant	affricate	retroflex	voiceless	plain
138	ÿ§H	ʈʂʰ	consonant	affricate	retroflex	voiceless	aspirated
139	ÿ§'	ʈʂʼ	consonant	affricate	retroflex	voiceless	glottalized
140	ÿ§’	ʈʂʼ	consonant	affricate	retroflex	voiceless	glottalized
141	ê½	ɖʐ	consonant	affricate	retroflex	voiced	plain
142	qX	qχ	consonant	affricate	uvular	voiceless	plain
143	Nkx'	ŋkxʼ	consonant	affricate	velar	voiceless	glottalized_prenasalized
144	Nkx’	ŋkxʼ	consonant	affricate	velar	voiceless	glottalized_prenasalized
145	gkx’	ɡkx’	consonant	affricate	velar	voiced_to_voiceless	glottalized
146	kxh	kxʰ	consonant	affricate	velar	voiceless	aspirated
147	kx'	kxʼ	consonant	affricate	velar	voiceless	glottalized
148	kx’	kxʼ	consonant	affricate	velar	voiceless	glottalized
149	kf	kf	consonant	affricate	velar_to_labiodental	voiced_to_voiceless	plain
150	dz’kx’	dzʼkxʼ	consonant	affricate_to_affricate	alveolar_to_velar	voiced_to_voiceless	glottalized
151	dz'kx'	dzʼkxʼ	consonant	affricate_to_affricate	alveolar_to_velar	voiced_to_voiceless	glottalized
152	ts’kx’	tsʼkxʼ	consonant	affricate_to_affricate	alveolar_to_velar	voiceless	glottalized
153	ts'kx'	tsʼkxʼ	consonant	affricate_to_affricate	alveolar_to_velar	voiceless	glottalized
154	dzƒÄw	dzɣw	consonant	affricate_to_fricative	alveolar_to_velar	voiced	labialized
155	dzx	dzx	consonant	affricate_to_fricative	alveolar_to_velar	voiced_to_voiceless	plain
156	tsx	tsx	consonant	affricate_to_fricative	alveolar_to_velar	voiceless	plain
157	dZƒÄw	dʒ͡ɣʷ	consonant	affricate_to_fricative	postalveolar_to_velar	voiced	labialized
158	gkx'	ɡkx’	consonant	affricate_to_fricative	velar	voiced_to_voiceless	glottalized
159	tsƒkw	ts͡kʷ	consonant	affricate_to_stop	alveolar_to_velar	voiceless	labialized
160	dZƒg	dʒ͡ɡ	consonant	affricate_to_stop	postalveolar_to_velar	voiced	plain
161	tSƒk	tʃ͡k	consonant	affricate_to_stop	postalveolar_to_velar	voiceless	plain
162	tƒkw	tʃ͡kʷ	consonant	affricate_to_stop	postalveolar_to_velar	voiceless	labialized
163	tSƒkw	tʃ͡kʷ	consonant	affricate_to_stop	postalveolar_to_velar	voiceless	labialized
164	¨	ɹ	consonant	approximant	alveolar	voiced	plain
165	¾â	ɹ	consonant	approximant	alveolar	voiced	plain
166	¨:	ɹː	consonant	approximant	alveolar	voiced_long	plain
167	V	ʋ	consonant	approximant	labiodental	voiced	plain
168	V+	ʋ*	consonant	approximant	labiodental	voiced	lax
169	Vh	ʋʰ	consonant	approximant	labiodental	voiced	aspirated
170	Vj	ʋʲ	consonant	approximant	labiodental	voiced	palatalized
171	V)	ʋ̃	consonant	approximant	labiodental	voiced	nasalized
172	ç	ɥ	consonant	approximant	labiopalatal	voiced	plain
173	ç8	ɥ̥	consonant	approximant	labiopalatal	voiceless	plain
174	w8	ʍ	consonant	approximant	labiovelar	voiceless	plain
175	/edw	ʔw	consonant	approximant	labiovelar	voiced	preglottalized
176	‘w	ʔw	consonant	approximant	labiovelar	voiced	preglottalized
177	w	w	consonant	approximant	labiovelar	voiced	plain
178	w+	w*	consonant	approximant	labiovelar	voiced	lax
179	w:	wː	consonant	approximant	labiovelar	voiced_long	plain
180	wú	wɦ	consonant	approximant	labiovelar	voiced	voiced_aspirated
181	w³	wˤ	consonant	approximant	labiovelar	voiced	pharyngealized
182	wH	wʰ	consonant	approximant	labiovelar	voiced	aspirated
183	w'	wʼ	consonant	approximant	labiovelar	voiced	glottalized
184	w/	wʼ	consonant	approximant	labiovelar	voiced	glottalized
185	w’	wʼ	consonant	approximant	labiovelar	voiced	glottalized
186	wj	wʲ	consonant	approximant	labiovelar	voiced	palatalized
187	w)	w̃	consonant	approximant	labiovelar	voiced	nasalized
188	/j	ʔj	consonant	approximant	palatal	voiced	preglottalized
189	‘j	ʔj	consonant	approximant	palatal	voiced	preglottalized
190	j	j	consonant	approximant	palatal	voiced	plain
191	j:	jː	consonant	approximant	palatal	voiced_long	plain
192	jH	jʰ	consonant	approximant	palatal	voiced	aspirated
193	jW	jʷ	consonant	approximant	palatal	voiced	labialized
194	j'	jʼ	consonant	approximant	palatal	voiced	glottalized
195	j/	jʼ	consonant	approximant	palatal	voiced	glottalized
196	j’	jʼ	consonant	approximant	palatal	voiced	glottalized
197	jæ	ĵ	consonant	approximant	palatal	voiced	lenis
198	j*	j̥	consonant	approximant	palatal	voiceless	plain
199	j)	j̃	consonant	approximant	palatal	voiced	nasalized
200	Ó	ɻ	consonant	approximant	retroflex	voiced	plain
201	qå	qɰ	consonant	approximant	uvular	voiced	plain
202	å	ɰ	consonant	approximant	velar	voiced	plain
203	µ9	ɰ	consonant	approximant	velar	voiced	plain
204	å'	ɰʼ	consonant	approximant	velar	voiced	glottalized
205	å’	ɰʼ	consonant	approximant	velar	voiced	glottalized
206	—	ǃ	consonant	click	alveolar	voiceless	plain
207	!d	ǃd	consonant	click	alveolar	voiceless	d_accompaniment
208	!Z	ǃʒ	consonant	click	alveolar	voiceless	Z_accompaniment
209	—/	ǃʔ	consonant	click	alveolar	voiceless	glottalized
210	—h	ǃʰ	consonant	click	alveolar	voiceless	aspirated
211	!S	ǃʃ	consonant	click	alveolar	voiceless	S_accompaniment
212	—kx/	ǃkxʔ	consonant	click	alveolar	voiceless	glottalized_kx_accompaniment
213	!n	ǃn	consonant	click	alveolar	voiceless	nasalized
214	—n	ǃn	consonant	click	alveolar	voiceless	nasalized
215	—n8	ǃn̥	consonant	click	alveolar	voiceless	voiceless_nasalized
216	—q	ǃq	consonant	click	alveolar	voiceless	q_accompaniment
217	—q/	ǃqʔ	consonant	click	alveolar	voiceless	glottalized_q_accompaniment
218	—qh	ǃqʰ	consonant	click	alveolar	voiceless	aspirated_q_accompaniment
219	!r	ǃr	consonant	click	alveolar	voiceless	r_accompaniment
220	!s	ǃs	consonant	click	alveolar	voiceless	s_accompaniment
221	!t	ǃt	consonant	click	alveolar	voiceless	t_accompaniment
222	—x	ǃx	consonant	click	alveolar	voiceless	x_accompaniment
223	!z	ǃz	consonant	click	alveolar	voiceless	z_accompaniment
224	—g	ɡǃ	consonant	click	alveolar	voiced	plain
225	g—	ɡǃ	consonant	click	alveolar	voiced	plain
226	g—h	ɡǃʰ	consonant	click	alveolar	voiced	aspirated
227	g—kx/	ɡǃkx	consonant	click	alveolar	voiced	kx_accompaniment
228	g—x	ɡǃx	consonant	click	alveolar	voiced	x_accompaniment
229	/—n	ʔǃn	consonant	click	alveolar	voiceless	nasalized_preglottalized
230	/‡n	ʔʘn	consonant	click	alveolar	voiceless	glottalized_prenasalized
231	l!	lǃ	consonant	click	alveolar	voiced	l_accompaniment
232	m—G	mǃG	consonant	click	alveolar	voiceless	labial_prenasalized_G_accompaniment
233	n—	nǃ	consonant	click	alveolar	voiceless	prenasalized
234	ng—	nɡǃ	consonant	click	alveolar	voiced	prenasalized
235	nk—	nkǃ	consonant	click	alveolar	voiceless	alveolar_prenasalized
236	‡g	ɡʘ	consonant	click	bilabial	voiced	plain
237	g‡h	ɡʘʰ	consonant	click	bilabial	voiced	aspirated
238	g‡kx/	ɡʘkx	consonant	click	bilabial	voiced	kx_accompaniment
239	g‡x	ɡʘx	consonant	click	bilabial	voiced	x_accompaniment
240	‡	ʘ	consonant	click	bilabial	voiceless	plain
241	‡/	ʘʔ	consonant	click	bilabial	voiceless	glottalized
242	‡h	ʘʰ	consonant	click	bilabial	voiceless	aspirated
243	‡kx/	ʘkxʔ	consonant	click	bilabial	voiceless	glottalized_kx_accompaniment
244	‡n	ʘn	consonant	click	bilabial	voiceless	nasalized
245	‡n8	ʘn̥	consonant	click	bilabial	voiceless	voiceless_nasalized
246	‡q	ʘq	consonant	click	bilabial	voiceless	q_accompaniment
247	‡q/	ʘqʔ	consonant	click	bilabial	voiceless	glottalized_q_accompaniment
248	‡qh	ʘqʰ	consonant	click	bilabial	voiceless	aspirated_q_accompaniment
249	‡x	ʘx	consonant	click	bilabial	voiceless	x_accompaniment
250	m‡G	mʘG	consonant	click	bilabial	voiceless	labial_prenasalized_G_accompaniment
251	p<	p<	consonant	click	bilabial	voiceless	pulmonic_ingressive
252	nŽ	ⁿǀ	consonant	click	dental	voiceless	prenasalized
253	–	ǀ	consonant	click	dental	voiceless	plain
254	Ž	ǀ	consonant	click	dental	voiceless	plain
255	–/	ǀʔ	consonant	click	dental	voiceless	glottalized
256	–h	ǀʰ	consonant	click	dental	voiceless	aspirated
257	–kx/	ǀkxʔ	consonant	click	dental	voiceless	glottalized_kx_accompaniment
258	–n	ǀn	consonant	click	dental	voiceless	nasalized
259	–n8	ǀn̥	consonant	click	dental	voiceless	voiceless_nasalized
260	–q	ǀq	consonant	click	dental	voiceless	q_accompaniment
261	–q/	ǀqʔ	consonant	click	dental	voiceless	glottalized_q_accompaniment
262	–qh	ǀqʰ	consonant	click	dental	voiceless	aspirated_q_accompaniment
263	–s	ǀs	consonant	click	dental	voiceless	affricative
264	–x	ǀx	consonant	click	dental	voiceless	x_accompaniment
265	–g	ɡǀ	consonant	click	dental	voiced	plain
266	g–	ɡǀ	consonant	click	dental	voiced	plain
267	g–h	ɡǀʰ	consonant	click	dental	voiced	aspirated
268	g–kx/	ɡǀkx	consonant	click	dental	voiced	kx_accompaniment
269	g–x	ɡǀx	consonant	click	dental	voiced	x_accompaniment
270	/–n	ʔǀn	consonant	click	dental	voiceless	nasalized_preglottalized
271	m–G	mǀG	consonant	click	dental	voiceless	labial_prenasalized_G_accompaniment
272	n–	nǀ	consonant	click	dental	voiceless	prenasalized
273	ng–	nɡǀ	consonant	click	dental	voiced	prenasalized
274	nk–	nkǀ	consonant	click	dental	voiceless	alveolar_prenasalized_k_accompaniment
275	’	ǁ	consonant	click	lateral	voiceless	plain
276	„	ǁ	consonant	click	lateral	voiceless	plain
277	„/	ǁʔ	consonant	click	lateral	voiceless	glottalized
278	„h	ǁʰ	consonant	click	lateral	voiceless	aspirated
279	„kx/	ǁkxʔ	consonant	click	lateral	voiceless	glottalized_kx_accompaniment
280	„n	ǁn	consonant	click	lateral	voiced	nasalized
281	„n8	ǁn̥	consonant	click	lateral	voiced	voiceless_nasalized
282	„q	ǁq	consonant	click	lateral	voiceless	q_accompaniment
283	„qh	ǁqʰ	consonant	click	lateral	voiceless	aspirated_q_accompaniment
284	„x	ǁx	consonant	click	lateral	voiceless	x_accompaniment
285	„g	ɡǁ	consonant	click	lateral	voiced	plain
286	g„	ɡǁ	consonant	click	lateral	voiced	plain
287	g„h	ɡǁʰ	consonant	click	lateral	voiced	aspirated
288	g„kx/	ɡǁkx	consonant	click	lateral	voiced	kx_accompaniment
289	g„x	ɡǁx	consonant	click	lateral	voiced	x_accompaniment
290	/„n	ʔǁn	consonant	click	lateral	voiceless	glottalized_prenasalized
291	m„G	mǁG	consonant	click	lateral	voiced	labial_prenasalized_G_accompaniment
292	n„	nǁ	consonant	click	lateral	voiceless	prenasalized
293	ng„	nɡǁ	consonant	click	lateral	voiced	prenasalized
294	„q/	ǁqʔ	consonant	click	lateral	voiceless	glottalized_q_accompaniment
295	œ	ǂ	consonant	click	palatoalveolar	voiceless	plain
296	œ/	ǂʔ	consonant	click	palatoalveolar	voiceless	glottalized
297	œh	ǂʰ	consonant	click	palatoalveolar	voiceless	aspirated
298	œkx/	ǂkxʔ	consonant	click	palatoalveolar	voiceless	glottalized_kx_accompaniment
299	œn	ǂn	consonant	click	palatoalveolar	voiceless	nasalized
300	œn8	ǂn̥	consonant	click	palatoalveolar	voiceless	voiceless_nasalized
301	œq	ǂq	consonant	click	palatoalveolar	voiceless	q_accompaniment
302	œq/	ǂqʔ	consonant	click	palatoalveolar	voiceless	glottalized_q_accompaniment
303	œqh	ǂqʰ	consonant	click	palatoalveolar	voiceless	aspirated_q_accompaniment
304	œx	ǂx	consonant	click	palatoalveolar	voiceless	x_accompaniment
305	œg	ɡǂ	consonant	click	palatoalveolar	voiced	plain
306	gœ	ɡǂ	consonant	click	palatoalveolar	voiced	plain
307	gœh	ɡǂʰ	consonant	click	palatoalveolar	voiced	aspirated
308	gœkx/	ɡǂkx	consonant	click	palatoalveolar	voiced	kx_accompaniment
309	gœx	ɡǂx	consonant	click	palatoalveolar	voiced	x_accompaniment
310	/œn	ʔǂn	consonant	click	palatoalveolar	voiceless	nasalized_preglottalized
311	mœG	mǂG	consonant	click	palatoalveolar	voiceless	labial_prenasalized_G_accompaniment
312	nœ	nǂ	consonant	click	palatoalveolar	voiceless	prenasalized
313	ngœ	nɡǂ	consonant	click	palatoalveolar	voiced	prenasalized
314	t'/ë	t'	consonant	ejective	alveolar	voiceless	plain
315	d'	dʼ	consonant	ejective	alveolar	voiced	plain
316	d’	dʼ	consonant	ejective	alveolar	voiced	plain
317	t'	tʼ	consonant	ejective	alveolar	voiceless	plain
318	t’	tʼ	consonant	ejective	alveolar	voiceless	plain
319	t’w	tʼʷ	consonant	ejective	alveolar	voiceless	labialized
320	t'w	tʼʷ	consonant	ejective	alveolar	voiceless	labialized
321	p'	pʼ	consonant	ejective	bilabial	voiceless	plain
322	p’	pʼ	consonant	ejective	bilabial	voiceless	plain
323	p’³	pʼˤ	consonant	ejective	bilabial	voiceless	pharyngealized
324	p'³	pʼˤ	consonant	ejective	bilabial	voiceless	pharyngealized
325	n5t5'	n̪t̪ʼ	consonant	ejective	dental	voiceless	prenasalized
326	n5t5’	n̪t̪ʼ	consonant	ejective	dental	voiceless	prenasalized
327	t5'	t̪ʼ	consonant	ejective	dental	voiceless	plain
328	t5ʼ	t̪ʼ	consonant	ejective	dental	voiceless	plain
329	c'	cʼ	consonant	ejective	palatal	voiceless	plain
330	c’	cʼ	consonant	ejective	palatal	voiceless	plain
331	q'	qʼ	consonant	ejective	uvular	voiceless	plain
332	q’	qʼ	consonant	ejective	uvular	voiceless	plain
333	q’³	qʼˤ	consonant	ejective	uvular	voiceless	pharyngealized
334	q'³	qʼˤ	consonant	ejective	uvular	voiceless	pharyngealized
335	q’³w	qʼˤʷ	consonant	ejective	uvular	voiceless	pharyngealized_labialized
336	q'³w	qʼˤʷ	consonant	ejective	uvular	voiceless	pharyngealized_labialized
337	q’w	qʼʷ	consonant	ejective	uvular	voiceless	labialized
338	q'w	qʼʷ	consonant	ejective	uvular	voiceless	labialized
339	q’j	qʼʲ	consonant	ejective	uvular	voiceless	palatalized
340	q'j	qʼʲ	consonant	ejective	uvular	voiceless	palatalized
341	k'	kʼ	consonant	ejective	velar	voiceless	plain
342	k’	kʼ	consonant	ejective	velar	voiceless	plain
343	k’w	kʼʷ	consonant	ejective	velar	voiceless	labialized
344	k'w	kʼʷ	consonant	ejective	velar	voiceless	labialized
345	k’j	kʼʲ	consonant	ejective	velar	voiceless	palatalized
346	k'j	kʼʲ	consonant	ejective	velar	voiceless	palatalized
347	d’kx’	dʼkxʼ	consonant	ejective_to_affricate	alveolar_to_velar	voiced_to_voiceless	glottalized
348	d'kx'	dʼkxʼ	consonant	ejective_to_affricate	alveolar_to_velar	voiced_to_voiceless	glottalized
349	t’kx’	tʼkxʼ	consonant	ejective_to_affricate	alveolar_to_velar	voiceless	glottalized
350	t'kx'	tʼkxʼ	consonant	ejective_to_affricate	alveolar_to_velar	voiceless	glottalized
351	R	ɾ	consonant	flap	alveolar	voiced	plain
352	R³	ɾˤ	consonant	flap	alveolar	voiced	pharyngealized
353	Rj	ɾʲ	consonant	flap	alveolar	voiced	palatalized
354	n&	ɾ̃	consonant	flap	alveolar	voiced	nasalized
355	R5	ɾ̪	consonant	flap	dental	voiced	plain
356	R5³	ɾ̪ˤ	consonant	flap	dental	voiced	pharyngealized
357	RD	ɾð	consonant	flap	interdental	voiced	plain
358	vR	vɾ	consonant	flap	labiodental	voiced	plain
359	R:	ɾˡ	consonant	flap	lateral	voiced	plain
360	ä	ɺ	consonant	flap	lateral	voiced	plain
361	}	ɽ	consonant	flap	retroflex	voiced	plain
362	}H	ɽʰ	consonant	flap	retroflex	voiced	aspirated
363	}h	ɽʰ	consonant	flap	retroflex	voiced	aspirated
364	ns	ⁿs	consonant	fricative	alveolar	voiceless	prenasalized
365	nz	ⁿz	consonant	fricative	alveolar	voiced	prenasalized
366	S’w	ʃʼʷ	consonant	fricative	alveolar	voiceless	glottalized_labialized
367	S'w	ʃʼʷ	consonant	fricative	alveolar	voiceless	glottalized_labialized
368	n8s	n̥s	consonant	fricative	alveolar	voiceless	voiceless_prenasalized
369	nzw	nzʷ	consonant	fricative	alveolar	voiced	labialized_prenasalized
370	s	s	consonant	fricative	alveolar	voiceless	plain
371	ss	sː	consonant	fricative	alveolar	voiceless_long	plain
372	sÄ	sˠ	consonant	fricative	alveolar	voiceless	velarized
373	s³	sˤ	consonant	fricative	alveolar	voiceless	pharyngealized
374	sÖ	sˤ	consonant	fricative	alveolar	voiceless	pharyngealized
375	sç	sɥ	consonant	fricative	alveolar	voiceless	labiopalatalized
376	sH	sʰ	consonant	fricative	alveolar	voiceless	aspirated
