CLTS_NAME	BIPA_GRAPHEME	EURASIAN_URL	EURASIAN_GRAPHEME
long front rounded close front vowel	yː	http://eurasianphonology.info/search_exact?dialects=True&query=yː	yː
front rounded close-mid front vowel	ø	http://eurasianphonology.info/search_exact?dialects=True&query=ø	ø
long front rounded close-mid front vowel	øː	http://eurasianphonology.info/search_exact?dialects=True&query=øː	øː
long front rounded open-mid front vowel	œː	http://eurasianphonology.info/search_exact?dialects=True&query=œː	œː
long back rounded close back vowel	uː	http://eurasianphonology.info/search_exact?dialects=True&query=uː	uː
long back rounded close-mid back vowel	oː	http://eurasianphonology.info/search_exact?dialects=True&query=oː	oː
back rounded open back vowel	ɒ	http://eurasianphonology.info/search_exact?dialects=True&query=ɒ	ɒ
long back rounded open back vowel	ɒː	http://eurasianphonology.info/search_exact?dialects=True&query=ɒː	ɒː
from front unrounded close-mid front to non-syllabic front unrounded close front diphthong	ei̯	http://eurasianphonology.info/search_exact?dialects=True&query=ei̯	ei̯
from front unrounded nearly-open front to non-syllabic front unrounded close front diphthong	æi̯	http://eurasianphonology.info/search_exact?dialects=True&query=æi̯	æi̯
from back rounded close-mid back to non-syllabic front unrounded close front diphthong	oi̯	http://eurasianphonology.info/search_exact?dialects=True&query=oi̯	oi̯
from front unrounded close front to non-syllabic central unrounded mid central diphthong	iə̯	http://eurasianphonology.info/search_exact?dialects=True&query=iə̯	iə̯
from front rounded close front to non-syllabic central unrounded mid central diphthong	yə̯	http://eurasianphonology.info/search_exact?dialects=True&query=yə̯	yə̯
from back rounded close back to non-syllabic central unrounded mid central diphthong	uə̯	http://eurasianphonology.info/search_exact?dialects=True&query=uə̯	uə̯
from front unrounded nearly-open front to non-syllabic back rounded close back diphthong	æu̯	http://eurasianphonology.info/search_exact?dialects=True&query=æu̯	æu̯
from back rounded close-mid back to non-syllabic back rounded close back diphthong	ou̯	http://eurasianphonology.info/search_exact?dialects=True&query=ou̯	ou̯
aspirated voiceless bilabial stop consonant	pʰ	http://eurasianphonology.info/search_exact?dialects=True&query=pʰ	pʰ
aspirated voiceless alveolar stop consonant	tʰ	http://eurasianphonology.info/search_exact?dialects=True&query=tʰ	tʰ
voiceless retroflex stop consonant	ʈ	http://eurasianphonology.info/search_exact?dialects=True&query=ʈ	ʈ
voiced retroflex stop consonant	ɖ	http://eurasianphonology.info/search_exact?dialects=True&query=ɖ	ɖ
voiced retroflex nasal consonant	ɳ	http://eurasianphonology.info/search_exact?dialects=True&query=ɳ	ɳ
voiceless retroflex sibilant fricative consonant	ʂ	http://eurasianphonology.info/search_exact?dialects=True&query=ʂ	ʂ
voiced retroflex tap consonant	ɽ	http://eurasianphonology.info/search_exact?dialects=True&query=ɽ	ɽ
voiced retroflex lateral approximant consonant	ɭ	http://eurasianphonology.info/search_exact?dialects=True&query=ɭ	ɭ
aspirated voiceless velar stop consonant	kʰ	http://eurasianphonology.info/search_exact?dialects=True&query=kʰ	kʰ
long central rounded close central vowel	ʉː	http://eurasianphonology.info/search_exact?dialects=True&query=ʉː	ʉː
long back unrounded open back vowel	ɑː	http://eurasianphonology.info/search_exact?dialects=True&query=ɑː	ɑː
central rounded close central vowel	ʉ	http://eurasianphonology.info/search_exact?dialects=True&query=ʉ	ʉ
front rounded open-mid front vowel	œ	http://eurasianphonology.info/search_exact?dialects=True&query=œ	œ
voiced dental nasal consonant	n̪	http://eurasianphonology.info/search_exact?dialects=True&query=n̪	n̪
palatalized voiced dental lateral approximant consonant	l̪ʲ	http://eurasianphonology.info/search_exact?dialects=True&query=l̪ʲ	l̪ʲ
front rounded mid front vowel	ø̞	http://eurasianphonology.info/search_exact?dialects=True&query=ø̞	ø̞
back rounded mid back vowel	o̞	http://eurasianphonology.info/search_exact?dialects=True&query=o̞	o̞
central unrounded open-mid central vowel	ɜ	http://eurasianphonology.info/search_exact?dialects=True&query=ɜ	ɜ
from front unrounded close front to front unrounded mid front diphthong	ie̞	http://eurasianphonology.info/search_exact?dialects=True&query=ie̞	ie̞
long central unrounded open-mid central vowel	ɜː	http://eurasianphonology.info/search_exact?dialects=True&query=ɜː	ɜː
long back rounded mid back vowel	o̞ː	http://eurasianphonology.info/search_exact?dialects=True&query=o̞ː	o̞ː
front creaky unrounded nearly-open front vowel	æ̰	http://eurasianphonology.info/search_exact?dialects=True&query=æ̰	æ̰
front creaky unrounded open front vowel	a̰	http://eurasianphonology.info/search_exact?dialects=True&query=a̰	a̰
front creaky unrounded mid front vowel	e̞̰	http://eurasianphonology.info/search_exact?dialects=True&query=e̞̰	e̞̰
central creaky rounded mid central vowel	ɵ̞̰	http://eurasianphonology.info/search_exact?dialects=True&query=ɵ̞̰	ɵ̞̰
voiceless bilabial ejective stop consonant	pʼ	http://eurasianphonology.info/search_exact?dialects=True&query=pʼ	pʼ
labialized voiceless bilabial ejective stop consonant	pʼʷ	http://eurasianphonology.info/search_exact?dialects=True&query=pʼʷ	pʼʷ
voiceless alveolar ejective stop consonant	tʼ	http://eurasianphonology.info/search_exact?dialects=True&query=tʼ	tʼ
labialized voiceless alveolar ejective stop consonant	tʼʷ	http://eurasianphonology.info/search_exact?dialects=True&query=tʼʷ	tʼʷ
labialized voiced velar stop consonant	gʷ	http://eurasianphonology.info/search_exact?dialects=True&query=ɡʷ	ɡʷ
labialized voiceless velar stop consonant	kʷ	http://eurasianphonology.info/search_exact?dialects=True&query=kʷ	kʷ
voiceless velar ejective stop consonant	kʼ	http://eurasianphonology.info/search_exact?dialects=True&query=kʼ	kʼ
labialized voiceless velar ejective stop consonant	kʼʷ	http://eurasianphonology.info/search_exact?dialects=True&query=kʼʷ	kʼʷ
voiceless uvular stop consonant	q	http://eurasianphonology.info/search_exact?dialects=True&query=q	q
labialized voiceless uvular stop consonant	qʷ	http://eurasianphonology.info/search_exact?dialects=True&query=qʷ	qʷ
voiceless glottal ejective stop consonant	ʔ’	http://eurasianphonology.info/search_exact?dialects=True&query=ʔʼ	ʔʼ
labialized voiceless glottal ejective stop consonant	ʔ’ʷ	http://eurasianphonology.info/search_exact?dialects=True&query=ʔʼʷ	ʔʼʷ
voiceless alveolar ejective sibilant affricate consonant	tsʼ	http://eurasianphonology.info/search_exact?dialects=True&query=tsʼ	tsʼ
voiceless post-alveolar ejective sibilant affricate consonant	tʃʼ	http://eurasianphonology.info/search_exact?dialects=True&query=tʃʼ	tʃʼ
voiced alveolo-palatal sibilant fricative consonant	ʑ	http://eurasianphonology.info/search_exact?dialects=True&query=ʑ	ʑ
voiceless alveolo-palatal sibilant fricative consonant	ɕ	http://eurasianphonology.info/search_exact?dialects=True&query=ɕ	ɕ
voiced alveolo-palatal sibilant affricate consonant	dʑ	http://eurasianphonology.info/search_exact?dialects=True&query=dʑ	dʑ
voiceless alveolo-palatal ejective sibilant affricate consonant	tɕ’	http://eurasianphonology.info/search_exact?dialects=True&query=tɕʼ	tɕʼ
voiced alveolar lateral fricative consonant	ɮ	http://eurasianphonology.info/search_exact?dialects=True&query=ɮ	ɮ
voiceless alveolar lateral fricative consonant	ɬ	http://eurasianphonology.info/search_exact?dialects=True&query=ɬ	ɬ
voiceless alveolar ejective lateral fricative consonant	ɬʼ	http://eurasianphonology.info/search_exact?dialects=True&query=ɬʼ	ɬʼ
labialized voiceless velar fricative consonant	xʷ	http://eurasianphonology.info/search_exact?dialects=True&query=xʷ	xʷ
voiced uvular fricative consonant	ʁ	http://eurasianphonology.info/search_exact?dialects=True&query=ʁ	ʁ
labialized voiced uvular fricative consonant	ʁʷ	http://eurasianphonology.info/search_exact?dialects=True&query=ʁʷ	ʁʷ
voiceless uvular fricative consonant	χ	http://eurasianphonology.info/search_exact?dialects=True&query=χ	χ
labialized voiceless uvular fricative consonant	χʷ	http://eurasianphonology.info/search_exact?dialects=True&query=χʷ	χʷ
pharyngealized voiceless epiglottal stop consonant	ʡˤ	http://eurasianphonology.info/search_exact?dialects=True&query=ʡˤ	ʡˤ
pharyngealized voiceless uvular stop consonant	qˤ	http://eurasianphonology.info/search_exact?dialects=True&query=qˤ	qˤ
voiced dental lateral approximant consonant	l̪	http://eurasianphonology.info/search_exact?dialects=True&query=l̪	l̪
