CLTS_NAME	BIPA_GRAPHEME	ID	GRAPHEME	FEATURES
palatalized voiced alveolar nasal consonant	nʲ	3085	nʲ	pulmonic nasal voiced palatalized alveolar
palatalized voiceless bilabial stop consonant	pʲ	3086	pʲ	pulmonic stop voiceless palatalized bilabial
palatalized voiced alveolar trill consonant	rʲ	3087	rʲ	pulmonic trill voiced palatalized alveolar
palatalized voiceless alveolar sibilant fricative consonant	sʲ	3088	sʲ	pulmonic fricative sibilant voiceless palatalized alveolar
palatalized voiceless alveolar stop consonant	tʲ	3089	tʲ	pulmonic stop voiceless palatalized alveolar
voiced palatal nasal consonant	ɲ	31	ɲ	pulmonic nasal voiced palatal
voiced palatal affricate consonant	ɟʝ	3186	ɟʝ	pulmonic affricate voiced palatal
voiceless palatal affricate consonant	cç	3214	cç	pulmonic affricate voiceless palatal
nasalized unrounded open-mid back vowel	ʌ̃	3230	ʌ̃	nasalized lower mid back unrounded
nasalized unrounded close back vowel	ɯ̃	3233	ɯ̃	nasalized high back unrounded
from voiced palatal nasal to voiced palatal stop cluster	ɲɟ	3238	ɲɟ	pulmonic stop prenasalized voiced palatal
creaky voiceless velar stop consonant	k̰	3257	k̰	pulmonic stop voiceless laryngealized velar
creaky voiceless alveolar stop consonant	t̰	3259	t̰	pulmonic stop voiceless laryngealized alveolar
creaky voiceless bilabial stop consonant	p̰	3260	p̰	pulmonic stop voiceless laryngealized bilabial
from creaky voiceless post-alveolar stop to creaky voiceless post-alveolar sibilant fricative cluster	t̠̰ʃ̰	3262	t̠̰ʃ̰	pulmonic affricate sibilant voiceless laryngealized palato-alveolar
from creaky voiceless alveolar stop to creaky voiceless alveolar sibilant fricative cluster	t̰s̰	3264	t̰s̰	pulmonic affricate sibilant voiceless laryngealized alveolar
voiced velar nasal consonant	ŋ	33	ŋ	pulmonic nasal voiced velar
nasalized rounded near-close near-back vowel	ʊ̃	3341	ʊ̃	nasalized lowered high back rounded
nasalized unrounded near-close near-front vowel	ɪ̃	3343	ɪ̃	nasalized lowered high front unrounded
breathy unrounded close front vowel	i̤	3393	i̤	breathy voiced high front unrounded
breathy unrounded open front vowel	a̤	3395	a̤	breathy voiced low central unrounded
breathy rounded open-mid back vowel	ɔ̤	3398	ɔ̤	breathy voiced lower mid back rounded
breathy unrounded open-mid front vowel	ɛ̤	3399	ɛ̤	breathy voiced lower mid front unrounded
breathy rounded close back vowel	ṳ	3402	ṳ	breathy voiced high back rounded
from unrounded close front to unrounded mid central diphthong	iə	3417	iə	diphtong high higher mid front central unrounded lowering backing
creaky voiced alveolar stop consonant	d̰	3419	d̰	pulmonic stop voiced laryngealized alveolar
creaky voiced bilabial stop consonant	b̰	3421	b̰	pulmonic stop voiced laryngealized bilabial
voiced uvular nasal consonant	ɴ	35	ɴ	pulmonic nasal voiced uvular
