CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	IMAGE	SOUND	FEATURES
voiceless alveolar sibilant fricative consonant	s	s	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-132.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_alveolar_fricative.mp3	a voiceless alveolar fricative
voiced alveolar sibilant fricative consonant	z	z	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-133.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_alveolar_fricative.mp3	a voiced alveolar fricative
voiceless post-alveolar sibilant fricative consonant	ʃ	ʃ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-134.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_postalveolar_fricative.mp3	a voiceless postalveolar fricative
voiced post-alveolar sibilant fricative consonant	ʒ	ʒ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-135.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_postalveolar_fricative.mp3	a voiced postalveolar fricative
voiceless retroflex sibilant fricative consonant	ʂ	ʂ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-136.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_retroflex_fricative.mp3	a voiceless retroflex fricative
voiced retroflex sibilant fricative consonant	ʐ	ʐ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-137.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_retroflex_fricative.mp3	a voiced retroflex fricative
voiceless palatal sibilant fricative consonant	ç	ç	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-138.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_palatal_fricative.mp3	a voiceless palatal fricative
voiced palatal fricative consonant	ʝ	ʝ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-139.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_palatal_fricative.mp3	a voiced palatal fricative
voiceless velar fricative consonant	x	x	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-140.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_velar_fricative.mp3	a voiceless velar fricative
voiced velar fricative consonant	ɣ	ɣ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-141.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_velar_fricative.mp3	a voiced velar fricative
voiceless uvular fricative consonant	χ	χ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-142.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_uvular_fricative.mp3	a voiceless uvular fricative
voiced uvular fricative consonant	ʁ	ʁ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-143.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_uvular_fricative.mp3	a voiced uvular fricative
voiceless pharyngeal fricative consonant	ħ	ħ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-144.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_pharyngeal_fricative.mp3	a voiceless pharyngeal fricative
voiced pharyngeal fricative consonant	ʕ	ʕ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-145.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_pharyngeal_fricative.mp3	a voiced pharyngeal fricative
voiceless glottal fricative consonant	h	h	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-146.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_glottal_fricative.mp3	a voiceless glottal fricative
voiced glottal fricative consonant	ɦ	ɦ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-147.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_glottal_fricative.mp3	a voiced glottal fricative
voiceless alveolar lateral fricative consonant	ɬ	ɬ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-148.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_alveolar_lateral-fricative.mp3	a voiceless alveolar lateral fricative
voiced alveolar lateral fricative consonant	ɮ	ɮ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-149.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_alveolar_lateral-fricative.mp3	a voiced alveolar lateral fricative
voiced labio-dental approximant consonant	ʋ	ʋ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-150.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_labiodental_approximant.mp3	a voiced labiodental approximant
voiced alveolar approximant consonant	ɹ	ɹ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-151.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_alveolar_approximant.mp3	a voiced alveolar approximant
voiced retroflex approximant consonant	ɻ	ɻ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-152.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_retroflex_approximant.mp3	a voiced retroflex approximant
voiced palatal approximant consonant	j	j	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-153.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_palatal_approximant.mp3	a voiced palatal approximant
voiced velar approximant consonant	ɰ	ɰ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-154.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_velar_approximant.mp3	a voiced velar approximant
