CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	LATEX	FEATURES
palatalized voiced post-alveolar lateral approximant consonant	l̠ʲ	l̠ʲ	\textsubbar{l}\super j	liquid::alveolar, palatal::+voice +lateral
palatalized voiceless post-alveolar sibilant affricate consonant	tʃʲ	t͡ʃʲ	\t{t͡\textipa{S}}\super j	affricate::palatoalveolar, palatal::−voice
palatalized voiced post-alveolar sibilant affricate consonant	dʒʲ	d͡ʒʲ	\t{d͡\textyogh}\super j	affricate::palatoalveolar, palatal::+voice
palatalized voiceless retroflex sibilant affricate consonant	ʈʂʲ	ʈ͡ʂʲ	\t{\textrtailt \textrtails}\super j	affricate::retroflex, palatal::−voice
palatalized voiced retroflex sibilant affricate consonant	ɖʐʲ	ɖ͡ʐʲ	\t{ɖ͡\textrtailz}\super j	affricate::retroflex, palatal::+voice
palatalized voiceless palatal affricate consonant	cçʲ	c͡çʲ	\t{c\c{c}}\super j	affricate::palatal::−voice
palatalized voiced palatal affricate consonant	ɟʝʲ	ɟ͡ʝʲ	\t{ɟ͡\textctj}\super j	affricate::palatal::+voice
palatalized voiced velar affricate consonant	gɣʲ	ɡ͡ɣʲ	\t{ɡ͡\textipa{G}}\super j	affricate::velar, palatal::+voice
palatalized voiceless velar affricate consonant	kxʲ	k͡xʲ	\t{kx}\super j	affricate::velar, palatal::−voice
palatalized voiced uvular affricate consonant	ɢʁʲ	ɢ͡ʁʲ	\t{\textscg \textipa{K}}\super j	affricate::uvular, palatal::+voice
palatalized voiceless uvular affricate consonant	qχʲ	q͡χʲ	\t{q͡\textchi}\super j	affricate::uvular, palatal::−voice
long unrounded open front vowel	aː	aː	a\textlengthmark	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
long unrounded near-open central vowel	ɐː	ɐː	\textturna\textlengthmark	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
long unrounded open back vowel	ɑː	ɑː	\textscripta\textlengthmark	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
long rounded open back vowel	ɒː	ɒː	\textturnscripta\textlengthmark	vowel::empty::−high +low +back +round +voice −nasal −spread glottis −constricted glottis
long rounded open-mid back vowel	ɔː	ɔː	\textopeno\textlengthmark	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
long unrounded close-mid front vowel	eː	eː	e\textlengthmark	vowel::empty::−high −low −back −round +voice −nasal −spread glottis −constricted glottis
long unrounded open-mid front vowel	ɛː	ɛː	\textipa{E}\textlengthmark	vowel::empty::−high −low −back −round +voice −nasal −spread glottis −constricted glottis
long unrounded mid central vowel	əː	əː	\textschwa\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long rhotacized unrounded mid central vowel	ə˞ː	ɚː	\textrhookschwa\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long unrounded close-mid central vowel	ɘː	ɘː	\textreve\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long unrounded open-mid central vowel	ɜː	ɜː	\textipa{3}\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long rounded open-mid central vowel	ɞː	ɞː	\textcloseepsilon\textlengthmark	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
long unrounded close-mid back vowel	ɤː	ɤː	\textipa{7}\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long unrounded close front vowel	iː	iː	i\textlengthmark	vowel::empty::+high −low −back −round +voice −nasal −spread glottis −constricted glottis
long unrounded near-close near-front vowel	ɪː	ɪː	\textipa{I}\textlengthmark	vowel::empty::+high −low −back −round +voice −nasal −spread glottis −constricted glottis
long unrounded close central vowel	ɨː	ɨː	\textbari\textlengthmark	vowel::empty::+high −low +back −round +voice −nasal −spread glottis −constricted glottis
long unrounded close back vowel	ɯː	ɯː	\textturnm\textlengthmark	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
long rounded close-mid back vowel	oː	oː	o\textlengthmark	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
long rounded close-mid central vowel	ɵː	ɵː	\textbaro\textlengthmark	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
long rounded close-mid front vowel	øː	øː	\o\textlengthmark	vowel::empty::−high −low −back +round +voice −nasal −spread glottis −constricted glottis
long rounded open front vowel	ɶː	ɶː	\textscoelig\textlengthmark	vowel::empty::−high +low −back +round +voice −nasal −spread glottis −constricted glottis
long rounded open-mid front vowel	œː	œː	\oe\textlengthmark	vowel::empty::−high −low −back +round +voice −nasal −spread glottis −constricted glottis
long rounded close back vowel	uː	uː	u\textlengthmark	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
long rounded close central vowel	ʉː	ʉː	\textbaru\textlengthmark	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
long rounded near-close near-back vowel	ʊː	ʊː	\textupsilon\textlengthmark	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
long unrounded open-mid back vowel	ʌː	ʌː	\textturnv\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long rounded close front vowel	yː	yː	y\textlengthmark	vowel::empty::+high −low −back +round +voice −nasal −spread glottis −constricted glottis
long rounded near-close near-front vowel	ʏː	ʏː	\textipa{Y}\textlengthmark	vowel::empty::+high −low −back +round +voice −nasal −spread glottis −constricted glottis
long unrounded near-open front vowel	æː	æː	\ae\textlengthmark	vowel::empty::−high +low −back −round +voice −nasal −spread glottis −constricted glottis
long voiceless bilabial stop consonant	pː	pː	p\textlengthmark	plosive::labial::−voice
long voiced bilabial stop consonant	bː	bː	b\textlengthmark	plosive::labial::+voice
long voiced bilabial implosive consonant	ɓː	ɓː	\texthtb\textlengthmark	plosive::labial::+voice
long voiceless bilabial fricative consonant	ɸː	ɸː	\textipa{F}\textlengthmark	fricative::labial::−voice
long voiced bilabial fricative consonant	βː	βː	\textipa{B}\textlengthmark	fricative::labial::+voice
long voiceless bilabial affricate consonant	pɸː	p͡ɸː	\t{p͡\textipa{F}}\textlengthmark	affricate::labial::−voice
long voiced bilabial affricate consonant	bβː	b͡βː	\t{b͡\textipa{B}}\textlengthmark	affricate::labial::+voice
long voiced bilabial nasal consonant	mː	mː	m\textlengthmark	nasal::labial::+voice +nasal
long voiceless labio-dental fricative consonant	fː	fː	f\textlengthmark	fricative::labiodental::−voice
long voiced labio-dental fricative consonant	vː	vː	v\textlengthmark	fricative::labiodental::+voice
long voiceless labio-dental affricate consonant	pfː	p͡fː	\t{pf}\textlengthmark	affricate::labiodental::−voice
long voiced labio-dental affricate consonant	bvː	b͡vː	\t{b͡v}\textlengthmark	affricate::labiodental::+voice
long voiced labio-dental nasal consonant	ɱː	ɱː	\textltailm\textlengthmark	nasal::labiodental::+voice +nasal
long voiceless dental stop consonant	t̪ː	t̪ː	\textsubbridge{t}\textlengthmark	plosive::dental::−voice
long voiced dental stop consonant	d̪ː	d̪ː	\textsubbridge{d}\textlengthmark	plosive::dental::+voice
long voiced dental implosive consonant	ɗː	ɗː	\texthtd\textlengthmark	plosive::dental::+voice
long voiced post-alveolar stop consonant	d̠ː	d̠ː	\textsubbar{d}\textlengthmark	plosive::dental::+voice
long voiceless dental fricative consonant	θː	θː	\textipa{T}\textlengthmark	fricative::dental::−voice
long voiced dental fricative consonant	ðː	ðː	\textipa{D}\textlengthmark	fricative::dental::+voice
long voiced alveolar sibilant affricate consonant	dzː	d͡zː	\t{dz}\textlengthmark	affricate::dental::+voice
long voiceless dental lateral fricative consonant	ɬ̪ː	ɬ̪ː	\textsubbridge{\textbeltl}\textlengthmark	fricative::dental::+voice +lateral
long voiced dental nasal consonant	n̪ː	n̪ː	\textsubbridge{n}\textlengthmark	nasal::dental::+voice +nasal
long voiceless alveolar stop consonant	tː	tː	t\textlengthmark	plosive::alveolar::−voice
long voiceless post-alveolar stop consonant	t̠ː	t̠ː	\textsubbar{t}\textlengthmark	plosive::alveolar::−voice
long voiced alveolar stop consonant	dː	dː	d\textlengthmark	plosive::alveolar::+voice
long voiceless alveolar sibilant fricative consonant	sː	sː	s\textlengthmark	fricative::alveolar::−voice
long voiced alveolar sibilant fricative consonant	zː	zː	z\textlengthmark	fricative::alveolar::+voice
long voiceless alveolar sibilant affricate consonant	tsː	t͡sː	\t{ts}\textlengthmark	affricate::alveolar::−voice
long voiced alveolar lateral affricate consonant	dɮː	d͡ɮː	\t{d͡\textlyoghlig}\textlengthmark	affricate::alveolar::+voice +lateral
long voiceless alveolar lateral affricate consonant	tɬː	t͡ɬː	\t{t͡\textbeltl}\textlengthmark	affricate::alveolar::+voice +lateral
long voiceless alveolar lateral fricative consonant	ɬː	ɬː	\textbeltl\textlengthmark	fricative::alveolar::+voice +lateral
long voiced alveolar lateral fricative consonant	ɮː	ɮː	\textlyoghlig\textlengthmark	fricative::alveolar::+voice +lateral
long voiced alveolar nasal consonant	nː	nː	n\textlengthmark	nasal::alveolar::+voice +nasal
long voiceless post-alveolar sibilant fricative consonant	ʃː	ʃː	\textipa{S}\textlengthmark	fricative::palatoalveolar::−voice
long voiced post-alveolar sibilant fricative consonant	ʒː	ʒː	\textyogh\textlengthmark	fricative::palatoalveolar::+voice
long voiceless post-alveolar sibilant affricate consonant	tʃː	t͡ʃː	\t{t͡\textipa{S}}\textlengthmark	affricate::palatoalveolar::−voice
long voiced post-alveolar sibilant affricate consonant	dʒː	d͡ʒː	\t{d͡\textyogh}\textlengthmark	affricate::palatoalveolar::+voice
long voiceless retroflex stop consonant	ʈː	ʈː	\textrtailt\textlengthmark	plosive::retroflex::−voice
long voiced retroflex stop consonant	ɖː	ɖː	\textrtaild\textlengthmark	plosive::retroflex::+voice
long voiceless retroflex sibilant fricative consonant	ʂː	ʂː	\textrtails\textlengthmark	fricative::retroflex::−voice
long voiced retroflex sibilant fricative consonant	ʐː	ʐː	\textrtailz\textlengthmark	fricative::retroflex::+voice
long voiced retroflex sibilant affricate consonant	ʈʂː	ʈ͡ʂː	\t{\textrtailt \textrtails}\textlengthmark	affricate::retroflex::−voice
long voiced retroflex sibilant affricate consonant	ɖʐː	ɖ͡ʐː	\t{ɖ͡\textrtailz}\textlengthmark	affricate::retroflex::+voice
long voiced retroflex nasal consonant	ɳː	ɳː	\:n\textlengthmark	nasal::retroflex::+voice +nasal
long voiceless palatal stop consonant	cː	cː	c\textlengthmark	plosive::palatal::−voice
long voiced palatal stop consonant	ɟː	ɟː	\textbardotlessj\textlengthmark	plosive::palatal::+voice
long voiceless palatal affricate consonant	cçː	c͡çː	\t{c\c{c}}\textlengthmark	affricate::palatal::−voice
long voiced palatal affricate consonant	ɟʝː	ɟ͡ʝː	\t{ɟ͡\textctj}\textlengthmark	affricate::palatal::+voice
long voiceless palatal sibilant fricative consonant	çː	çː	\c{c}\textlengthmark	fricative::palatal::−voice
long voiced palatal fricative consonant	ʝː	ʝː	\textctj\textlengthmark	fricative::palatal::+voice
long voiced palatal nasal consonant	ɲː	ɲː	\textltailn\textlengthmark	nasal::palatal::+voice +nasal
long voiceless velar stop consonant	kː	kː	k\textlengthmark	plosive::velar::−voice
long voiced velar stop consonant	gː	ɡː	ɡ\textlengthmark	plosive::velar::+voice
long voiced velar implosive consonant	ɠː	ɠː	\texthtg\textlengthmark	plosive::velar::+voice
long voiceless velar fricative consonant	xː	xː	x\textlengthmark	fricative::velar::−voice
long voiced velar fricative consonant	ɣː	ɣː	\textipa{G}\textlengthmark	fricative::velar::+voice
long voiced velar affricate consonant	gɣː	ɡ͡ɣː	\t{ɡ͡\textipa{G}}\textlengthmark	affricate::velar::+voice
long voiceless velar affricate consonant	kxː	k͡xː	\t{kx}\textlengthmark	affricate::velar::−voice
long voiced velar nasal consonant	ŋː	ŋː	\textipa{N}\textlengthmark	nasal::velar::+voice +nasal
long voiceless uvular stop consonant	qː	qː	q\textlengthmark	plosive::uvular::−voice
long voiced uvular stop consonant	ɢː	ɢː	\textscg\textlengthmark	plosive::uvular::+voice
long voiced uvular implosive consonant	ʛː	ʛː	\texthtscg\textlengthmark	plosive::uvular::+voice
long voiced uvular affricate consonant	ɢʁː	ɢ͡ʁː	\t{\textscg \textipa{K}}\textlengthmark	affricate::uvular::+voice
long voiceless uvular fricative consonant	χː	χː	\textchi\textlengthmark	fricative::uvular::−voice
long voiced uvular fricative consonant	ʁː	ʁː	\textipa{K}\textlengthmark	fricative::uvular::+voice
long voiceless uvular affricate consonant	qχː	q͡χː	\t{q͡\textchi}\textlengthmark	affricate::uvular::−voice
long voiced uvular nasal consonant	ɴː	ɴː	\textscn\textlengthmark	nasal::uvular::+voice +nasal
long voiced pharyngeal fricative consonant	ʕː	ʕː	\textrevglotstop\textlengthmark	fricative::pharyngeal::+voice
long voiceless pharyngeal fricative consonant	ħː	ħː	\textcrh\textlengthmark	fricative::pharyngeal::−voice
long voiceless glottal stop consonant	ʔː	ʔː	\textglotstop\textlengthmark	plosive::glottal::−voice
long voiceless glottal fricative consonant	hː	hː	h\textlengthmark	fricative::glottal::−voice
long voiced glottal fricative consonant	ɦː	ɦː	\texthth\textlengthmark	fricative::glottal::+voice
long non-syllabic unrounded open front vowel	a̯ː	a̯ː	\textroundcap{a}\textlengthmark	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded near-open central vowel	ɐ̯ː	ɐ̯ː	\textroundcap{\textturna}\textlengthmark	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded open back vowel	ɑ̯ː	ɑ̯ː	\textroundcap{\textscripta}\textlengthmark	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded open back vowel	ɒ̯ː	ɒ̯ː	\textroundcap{\textturnscripta}\textlengthmark	vowel::empty::−high +low +back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded open-mid back vowel	ɔ̯ː	ɔ̯ː	\textroundcap{\textopeno}\textlengthmark	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded close-mid front vowel	e̯ː	e̯ː	\textroundcap{e}\textlengthmark	vowel::empty::−high −low −back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded open-mid front vowel	ɛ̯ː	ɛ̯ː	\textroundcap{\textipa{E}}\textlengthmark	vowel::empty::−high −low −back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded mid central vowel	ə̯ː	ə̯ː	\textroundcap{\textschwa}\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long rhotacized non-syllabic unrounded mid central vowel	ə̯˞ː	ɚ̯ː	\textroundcap{\textrhookschwa}\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded close-mid central vowel	ɘ̯ː	ɘ̯ː	\textroundcap{\textreve}\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded open-mid central vowel	ɜ̯ː	ɜ̯ː	\textroundcap{\textipa{3}}\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded open-mid central vowel	ɞ̯ː	ɞ̯ː	\textroundcap{\textcloseepsilon}\textlengthmark	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded close-mid back vowel	ɤ̯ː	ɤ̯ː	\textroundcap{\textipa{7}}\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded close front vowel	i̯ː	i̯ː	\textroundcap{i}\textlengthmark	vowel::empty::+high −low −back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded near-close near-front vowel	ɪ̯ː	ɪ̯ː	\textroundcap{\textipa{I}}\textlengthmark	vowel::empty::+high −low −back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded close central vowel	ɨ̯ː	ɨ̯ː	\textroundcap{\textbari}\textlengthmark	vowel::empty::+high −low +back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded close back vowel	ɯ̯ː	ɯ̯ː	\textroundcap{\textturnm}\textlengthmark	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded close-mid back vowel	o̯ː	o̯ː	\textroundcap{o}\textlengthmark	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded close-mid central vowel	ɵ̯ː	ɵ̯ː	\textroundcap{\textbaro}\textlengthmark	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded close-mid front vowel	ø̯ː	ø̯ː	\textroundcap{\o}\textlengthmark	vowel::empty::−high −low −back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded open front vowel	ɶ̯ː	ɶ̯ː	\textroundcap{\textscoelig}\textlengthmark	vowel::empty::−high +low −back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded open-mid front vowel	œ̯ː	œ̯ː	\textroundcap{\oe}\textlengthmark	vowel::empty::−high −low −back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded close back vowel	u̯ː	u̯ː	\textroundcap{u}\textlengthmark	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded close central vowel	ʉ̯ː	ʉ̯ː	\textroundcap{\textbaru}\textlengthmark	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded near-close near-back vowel	ʊ̯ː	ʊ̯ː	\textroundcap{\textupsilon}\textlengthmark	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded open-mid back vowel	ʌ̯ː	ʌ̯ː	\textroundcap{\textturnv}\textlengthmark	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded close front vowel	y̯ː	y̯ː	\textroundcap{y}\textlengthmark	vowel::empty::+high −low −back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic rounded near-close near-front vowel	ʏ̯ː	ʏ̯ː	\textroundcap{\textipa{Y}}\textlengthmark	vowel::empty::+high −low −back +round +voice −nasal −spread glottis −constricted glottis
long non-syllabic unrounded near-open front vowel	æ̯ː	æ̯ː	\textroundcap{\ae}\textlengthmark	vowel::empty::−high +low −back −round +voice −nasal −spread glottis −constricted glottis
long nasalized unrounded open front vowel	ãː	ãː	\textipa{\~a}\textlengthmark	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded near-open central vowel	ɐ̃ː	ɐ̃ː	\textipa{\~\textturna}\textlengthmark	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded open back vowel	ɑ̃ː	ɑ̃ː	\textipa{\~\textscripta}\textlengthmark	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded open back vowel	ɒ̃ː	ɒ̃ː	\textipa{\~\textturnscripta}\textlengthmark	vowel::empty::−high +low +back +round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded open-mid back vowel	ɔ̃ː	ɔ̃ː	\textipa{\~\textopeno}\textlengthmark	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded close-mid front vowel	ẽː	ẽː	\textipa{\~e}\textlengthmark	vowel::empty::−high −low −back −round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded open-mid front vowel	ɛ̃ː	ɛ̃ː	\textipa{\~\textipa{E}}\textlengthmark	vowel::empty::−high −low −back −round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded mid central vowel	ə̃ː	ə̃ː	\textipa{\~\textschwa}\textlengthmark	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
long rhotacized nasalized unrounded mid central vowel	ə̃˞ː	ɚ̃ː	\textipa{\~\textrhookschwa}\textlengthmark	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded close-mid central vowel	ɘ̃ː	ɘ̃ː	\textipa{\~\textreve}\textlengthmark	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded open-mid central vowel	ɜ̃ː	ɜ̃ː	\textipa{\~\textipa{3}}\textlengthmark	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded open-mid central vowel	ɞ̃ː	ɞ̃ː	\textipa{\~\textcloseepsilon}\textlengthmark	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded close-mid back vowel	ɤ̃ː	ɤ̃ː	\textipa{\~\textipa{7}}\textlengthmark	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded close front vowel	ĩː	ĩː	\textipa{\~i}\textlengthmark	vowel::empty::+high −low −back −round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded near-close near-front vowel	ɪ̃ː	ɪ̃ː	\textipa{\~\textipa{I}}\textlengthmark	vowel::empty::+high −low −back −round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded close central vowel	ɨ̃ː	ɨ̃ː	\textipa{\~\textbari}\textlengthmark	vowel::empty::+high −low +back −round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded close back vowel	ɯ̃ː	ɯ̃ː	\textipa{\~\textturnm}\textlengthmark	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded close-mid back vowel	õː	õː	\textipa{\~o}\textlengthmark	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded close-mid central vowel	ɵ̃ː	ɵ̃ː	\textipa{\~\textbaro}\textlengthmark	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded close-mid front vowel	ø̃ː	ø̃ː	\textipa{\~\o}\textlengthmark	vowel::empty::−high −low −back +round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded open front vowel	ɶ̃ː	ɶ̃ː	\textipa{\~\textscoelig}\textlengthmark	vowel::empty::−high +low −back +round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded open-mid front vowel	œ̃ː	œ̃ː	\textipa{\~\oe}\textlengthmark	vowel::empty::−high −low −back +round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded close back vowel	ũː	ũː	\textipa{\~u}\textlengthmark	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded close central vowel	ʉ̃ː	ʉ̃ː	\textipa{\~\textbaru}\textlengthmark	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded near-close near-back vowel	ʊ̃ː	ʊ̃ː	\textipa{\~\textupsilon}\textlengthmark	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded open-mid back vowel	ʌ̃ː	ʌ̃ː	\textipa{\~\textturnv}\textlengthmark	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded close front vowel	ỹː	ỹː	\textipa{\~y}\textlengthmark	vowel::empty::+high −low −back +round +voice +nasal −spread glottis −constricted glottis
long nasalized rounded near-close near-front vowel	ʏ̃ː	ʏ̃ː	\textipa{\~\textipa{Y}}\textlengthmark	vowel::empty::+high −low −back +round +voice +nasal −spread glottis −constricted glottis
long nasalized unrounded near-open front vowel	æ̃ː	æ̃ː	\textipa{\~\ae}\textlengthmark	vowel::empty::−high +low −back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded open front vowel	ã̯ː	ã̯ː	\textipa{\~\textroundcap{a}}\textlengthmark	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded near-open central vowel	ɐ̯̃ː	ɐ̯̃ː	\textipa{\~\textroundcap{\textturna}}\textlengthmark	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded open back vowel	ɑ̯̃ː	ɑ̯̃ː	\textipa{\~\textroundcap{\textscripta}}\textlengthmark	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized rounded open back vowel	ɒ̯̃ː	ɒ̯̃ː	\textipa{\~\textroundcap{\textturnscripta}}\textlengthmark	vowel::empty::−high +low +back +round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized rounded open-mid back vowel	ɔ̯̃ː	ɔ̯̃ː	\textipa{\~\textroundcap{\textopeno}}\textlengthmark	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded close-mid front vowel	ẽ̯ː	ẽ̯ː	\textipa{\~\textroundcap{e}}\textlengthmark	vowel::empty::−high −low −back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded open-mid front vowel	ɛ̯̃ː	ɛ̯̃ː	\textipa{\~\textroundcap{\textipa{E}}}\textlengthmark	vowel::empty::−high −low −back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded mid central vowel	ə̯̃ː	ə̯̃ː	\textipa{\~\textroundcap{\textschwa}}\textlengthmark	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
long rhotacized non-syllabic nasalized unrounded mid central vowel	ə̯̃˞ː	ɚ̯̃ː	\textipa{\~\textroundcap{\textrhookschwa}}\textlengthmark	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded close-mid central vowel	ɘ̯̃ː	ɘ̯̃ː	\textipa{\~\textroundcap{\textreve}}\textlengthmark	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded open-mid central vowel	ɜ̯̃ː	ɜ̯̃ː	\textipa{\~\textroundcap{\textipa{3}}}\textlengthmark	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized rounded open-mid central vowel	ɞ̯̃ː	ɞ̯̃ː	\textipa{\~\textroundcap{\textcloseepsilon}}\textlengthmark	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded close-mid back vowel	ɤ̯̃ː	ɤ̯̃ː	\textipa{\~\textroundcap{\textipa{7}}}\textlengthmark	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded close front vowel	ĩ̯ː	ĩ̯ː	\textipa{\~\textroundcap{i}}\textlengthmark	vowel::empty::+high −low −back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded near-close near-front vowel	ɪ̯̃ː	ɪ̯̃ː	\textipa{\~\textroundcap{\textipa{I}}}\textlengthmark	vowel::empty::+high −low −back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded close central vowel	ɨ̯̃ː	ɨ̯̃ː	\textipa{\~\textroundcap{\textbari}}\textlengthmark	vowel::empty::+high −low +back −round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized unrounded close back vowel	ɯ̯̃ː	ɯ̯̃ː	\textipa{\~\textroundcap{\textturnm}}\textlengthmark	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized rounded close-mid back vowel	õ̯ː	õ̯ː	\textipa{\~\textroundcap{o}}\textlengthmark	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
long non-syllabic nasalized rounded close-mid central vowel	ɵ̯̃ː	ɵ̯̃ː	\textipa{\~\textroundcap{\textbaro}}\textlengthmark	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
