CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	LATEX	FEATURES
palatalized aspirated devoiced voiced alveolar nasal consonant	n̥ʲʰ	n̥ʰʲ	*n extsuperscript{h}\super j	nasal::alveolar, palatal::−voice +nasal +spread glottis
palatalized aspirated devoiced voiced retroflex nasal consonant	ɳ̥ʲʰ	ɳ̥ʰʲ	*\:n extsuperscript{h}\super j	nasal::retroflex, palatal::−voice +nasal +spread glottis
palatalized aspirated devoiced voiced palatal nasal consonant	ɲ̥ʲʰ	ɲ̥ʰʲ	*\textltailn extsuperscript{h}\super j	nasal::palatal::−voice +nasal +spread glottis
palatalized aspirated devoiced voiced velar nasal consonant	ŋ̥ʲʰ	ŋ̥ʰʲ	*\textipa{N} extsuperscript{h}\super j	nasal::velar, palatal::−voice +nasal +spread glottis
palatalized aspirated devoiced voiced uvular nasal consonant	ɴ̥ʲʰ	ɴ̥ʰʲ	*\textscn extsuperscript{h}\super j	nasal::uvular, palatal::−voice +nasal +spread glottis
syllabic palatalized voiceless bilabial stop consonant	p̩ʲ	p̩ʲ	\textipa{\s{p}}\super j	plosive::labial, palatal::−voice +syllabic
syllabic palatalized voiced bilabial stop consonant	b̩ʲ	b̩ʲ	\textipa{\s{b}}\super j	plosive::labial, palatal::+voice +syllabic
syllabic palatalized voiced bilabial implosive consonant	ɓ̩ʲ	ɓ̩ʲ	\textipa{\s{\texthtb}}\super j	plosive::labial, palatal::+voice +syllabic
syllabic palatalized voiceless bilabial fricative consonant	ɸ̩ʲ	ɸ̩ʲ	\textipa{\sF}\super j	fricative::labial, palatal::−voice +syllabic
syllabic palatalized voiced bilabial fricative consonant	β̩ʲ	β̩ʲ	\textipa{\sB}\super j	fricative::labial, palatal::+voice +syllabic
syllabic palatalized voiced bilabial nasal consonant	m̩ʲ	m̩ʲ	\textsyllabic{m}\super j	nasal::labial, palatal::+voice +nasal +syllabic
syllabic palatalized voiceless labio-dental fricative consonant	f̩ʲ	f̩ʲ	\textipa{\s{f}}\super j	fricative::labiodental, palatal::−voice +syllabic
syllabic palatalized voiced labio-dental fricative consonant	v̩ʲ	v̩ʲ	\textipa{\s{v}}\super j	fricative::labiodental, palatal::+voice +syllabic
