CLTS_NAME	BIPA_GRAPHEME	PHOIBLE_ID	PHOIBLE_GRAPHEME
voiced dental sibilant-affricate consonant	d̪z̪	30D03C9A011ADC5852F9D5AF75161372	d̪z̪
breathy-voiced retroflex stop consonant	ɖ̤	D32D22D7FB8C895910556E91EE6B372A	ɖ̤
rounded open back vowel	ɒ	5745AAC70E7A7B7175204204FFBE639F	ɒ
voiced retroflex sibilant-fricative consonant	ʐ	9EBF00B0DFB3E7F964B97DB54E9A36FD	ʐ
voiced retroflex approximant consonant	ɻ	A226BAACF325CDDFA1D1D7C55D9EA781	ɻ
long voiced alveolar trill consonant	rː	0FD087805B29DDC87A7BC2D136B0A201	rː
unrounded close-mid central vowel	ɘ	CEB8A516242B5E336874AC64E81D655E	ɘ
rising low high tone	¹⁵	C2C6C506DDACEEC2A68B71A756543103	˩˥
labialized aspirated voiceless velar stop consonant	kʷʰ	0C09EF7DD3A046DCF26731D2541C461C	kʷʰ
palatalized voiced bilabial stop consonant	bʲ	EB0AD53D3F3C5F8A82498357FBD00725	bʲ
voiceless labio-dental affricate consonant	pf	C78A087FC613D339B76F3A1FD72CCED9	pf
long voiced alveolar stop consonant	dː	AF55984F7DCE6CC6910C605F97C59E55	dː
nasalized unrounded nearly-open front vowel	æ̃	8E39902B15270149C6FAB7A2A6307EE3	æ̃
long voiced palatal nasal consonant	ɲː	B72EA7A6AB24EDF883082F82EAC69ADE	ɲː
long nasalized unrounded close-mid front vowel	ẽː	516350E7AE95E5CC180DBA424343695D	ẽː
aspirated voiceless dental affricate consonant	t̪s̪ʰ	8320148991AF7DEE52866916B00B49A3	t̪s̪ʰ
labialized voiceless alveolar sibilant-fricative consonant	sʷ	6576638EF4391DBEAFB44F37A062CD2D	sʷ
devoiced voiced alveolar nasal consonant	n̥	1328DE7368EC9B18055FBBC5445E9307	n̥
labialized voiceless alveolar stop consonant	tʷ	70D47EBCFC5479169386FAF413D83AE8	tʷ
palatalized voiced alveolar lateral-approximant consonant	lʲ	548D8E709B3C8F7FFB5983EA5E033D11	lʲ
voiced labio-dental approximant consonant	ʋ	5B8A0392206611F78C6A5ABCF5A4952F	ʋ
voiced velar approximant consonant	ɰ	62B50AA4D6AD6E1D010DD073BCD23B7E	ɰ
nasalized unrounded close back vowel	ɯ̃	A3B489972426A3F1C9C3E8F70C60891D	ɯ̃
long rounded mid back vowel	o̞ː	BB1834A39C9C6F2910C88A415CAC794E	o̞ː
long voiced labialized-velar approximant consonant	wː	4DB108BB5E5FA3A40FED7AD2E0D076C1	wː
rising mid-low mid tone	²³	0F2A0269330AAB53C42B7A0A79D63619	˨˧
long nasalized unrounded open-mid front vowel	ɛ̃ː	C8E200405D83F3D806F98BC041341BA0	ɛ̃ː
creaky-voiced palatal approximant consonant	j̰	0002A9D045F6F82C34C822EB423E0C40	j̰
creaky-voiced labialized-velar approximant consonant	w̰	CF906E247F184A2FB8CF5B070B6017F2	w̰
voiceless labiovelar fricative consonant	ʍ	B2DBBC1A3DE3F1B6731AEEF21C338B9B	ʍ
long voiceless labio-dental fricative consonant	fː	1AEE2DB972C8FD9AFB48C4C1B451C729	fː
long nasalized rounded open-mid back vowel	ɔ̃ː	A8502B647A72314DC6621C4135B5EE3E	ɔ̃ː
long unrounded close back vowel	ɯː	ABCFAED5F3E3B8EC06B68A672DE107FB	ɯː
voiced uvular stop consonant	ɢ	ED74AF5019F80FF5E1F4E598F0085639	ɢ
long voiced velar nasal consonant	ŋː	8D8F577E360F581BBCC510A0AD4AD2D4	ŋː
falling mid mid-low tone	³²	DF21894A34BE9B1F8074827DEF536BCD	˧˨
voiced alveolar lateral-flap consonant	ɺ	AF0BA3378B269771157E76E3157F655B	ɺ
unrounded open-mid central vowel	ɜ	E9816BABF98BFDAB39019D860D8C458F	ɜ
nasalized unrounded open back vowel	ɑ̃	55FDF5C7AED74ADA223A64EC6859373F	ɑ̃
palatalized voiceless glottal fricative consonant	hʲ	25B6E1900A1A13FBD6D6D038CEB4DC6E	hʲ
voiceless dental lateral-fricative consonant	ɬ̪	7745ED33224767336C730D0142AAE49D	ɬ̪
long unrounded mid front vowel	e̞ː	7B6489AE98B6E326169F03D41D94EF20	e̞ː
long voiceless postalveolar affricate consonant	t̠ʃː	F271E20422EFEB166A404CD30498F5EE	t̠ʃː
long voiceless postalveolar sibilant-fricative consonant	ʃː	11BA86428BB2A632682677515F0DED9A	ʃː
palatalized voiced alveolar nasal consonant	nʲ	9F38F051ADBEAF0BBD331FEE5F68BA0A	nʲ
labialized voiceless postalveolar sibilant-fricative consonant	ʃʷ	39531FD62BE1C71865C0681EBF03BE96	ʃʷ
devoiced voiced velar nasal consonant	ŋ̊	887F49F7E15117E2639E1D17FC0B8EB2	ŋ̥
voiceless alveolo-palatal sibilant-fricative consonant	ɕ	5B46730211D403D44939C20A4D77EACA	ɕ
voiced bilabial approximant consonant	β̞	51CC41E04001D781FFFB40FBAF6946C2	β̞
devoiced voiced alveolar lateral-approximant consonant	l̥	D47E305230AF5B8AD808EC71E2E40B0A	l̥
creaky-voiced bilabial nasal consonant	m̰	422FA00F23E4CDA245CD042186636980	m̰
from unrounded close front to unrounded open front diphthong	ia	C615E80D7BD204F79239594B45E22747	ia
from rounded close back to unrounded close front diphthong	ui	BE3730A853FBA861E9A26303281AD485	ui
labialized voiceless postalveolar affricate consonant	t̠ʃʷ	54A6714004BC6D660C5CD98F98D60CB7	t̠ʃʷ
voiceless dental ejective sibilant-affricate consonant	t̪s̪ʼ	DB7328D75BC8D9264B5D7AD424130B32	t̪s̪ʼ
voiceless alveolo-palatal sibilant-affricate consonant	tɕ	F98D1F5885EED9A2408A55B509F263BD	tɕ
voiceless palatal ejective stop consonant	cʼ	8624F957F56BDEBB294A22FB14BB353B	cʼ
creaky-voiced bilabial stop consonant	b̰	40A21059E3A4B95A15E310EA11A4F874	b̰
creaky-voiced unrounded open front vowel	a̰	5EDDCD762502FA9F1E90DEB15E6EB55E	a̰
labialized voiced velar fricative consonant	ɣʷ	2C506EAD6B506B116E11D445B865A044	ɣʷ
labialized voiced alveolar nasal consonant	nʷ	B9606A0BA2DA557E7E1D2DDED8B251CA	nʷ
palatalized voiceless alveolar sibilant-fricative consonant	sʲ	AE22B011DAF9516E3388AF4E418B00F4	sʲ
long rounded close-mid front vowel	øː	B89019D1E9EA2633F0AAACF9E66CE673	øː
long rounded close front vowel	yː	218729C2F787B39322EDB9220D365A1F	yː
voiceless postalveolar stop consonant	t̠	E1E0A66A7019DAB26B423051648216D0	t̠
voiced labio-dental affricate consonant	bv	97D36D16793A9A8C6C86298776C37038	bv
labialized voiceless glottal stop consonant	ʔʷ	E473B50B2D71F773C5CA69249A005329	ʔʷ
creaky-voiced unrounded close front vowel	ḭ	6E48B9E1AFA06DDB435C6ECA6A9EFEF4	ḭ
long voiced alveolar sibilant-fricative consonant	zː	55178E3BFB75E825B7E1DDB1ECAC84EA	zː
palatalized voiceless labio-dental fricative consonant	fʲ	94AD2B51FB011E032DC3E695DB412F3D	fʲ
breathy-voiced bilabial nasal consonant	m̤	F61883B1DE401AAC8D05094B23586566	m̤
breathy-voiced rounded close-mid back vowel	o̤	B8B8BB7DBFA65900231B523140B9BDD9	o̤
from rounded close back to unrounded open front diphthong	ua	24E11ABCF1AD3B0C6D805A63C3D713A4	ua
palatalized voiceless glottal stop consonant	ʔʲ	DFE30B989816F70CE8FE6D836F517A3A	ʔʲ
aspirated voiceless retroflex sibilant-affricate consonant	ʈʂʰ	1221CD26FBA96262AA84D0449FF78413	ʈʂʰ
long nasalized unrounded mid central vowel	ə̃ː	883726078EEB02D11417FE176DA55233	ə̃ː
voiced velar imstop consonant	ɠ	A7B91F7C0EC9AC0179CEBB1204C26358	ɠ
labialized voiced alveolar stop consonant	dʷ	9BA46C0013343130AEB3AD42A4E6FF7F	dʷ
labialized voiced alveolar lateral-approximant consonant	lʷ	294C0EC4ACA75218E380289C6ED1F071	lʷ
from rounded close-mid back to unrounded close front diphthong	oi	F9AF7F69BAF784734B0A933BC629BCCA	oi
from unrounded close-mid front to unrounded close front diphthong	ei	3649FB0AF894ECF74399C9B5AE4EFB3A	ei
creaky-voiced rounded close back vowel	ṵ	3782FB8410A935CA3189FEF216420D73	ṵ
creaky-voiced rounded close-mid back vowel	o̰	7A73B4B6C74CEFC35CC94376E1F9A7D8	o̰
creaky-voiced unrounded close-mid front vowel	ḛ	27CAD51ADCA4AA894498798363252570	ḛ
nasalized voiced labialized-velar approximant consonant	w̃	2F8A9928FFFCAAAA91D98EB89CC2436B	w̃
palatalized devoiced voiced alveolar tap consonant	ɾʲ	01BEF6DAA818C13F6E8BAD908B0A45E7	ɾʲ
voiced labio-dental nasal consonant	ɱ	E61654B85E72EDDB4ADA812B48BA9452	ɱ
labialized voiced palatal nasal consonant	ɲʷ	471E09F92E1FBA644B9AAC2EA4951167	ɲʷ
breathy-voiced unrounded close-mid front vowel	e̤	9D82C6C20E6D189355D54C7FAF648D1D	e̤
breathy-voiced unrounded close front vowel	i̤	939A7975CF9076575231885607327720	i̤
breathy-voiced alveolar lateral-approximant consonant	l̤	7A6E282428E30E734D69822920207F64	l̤
creaky-voiced alveolar nasal consonant	n̰	CA104009E4C75968ABCCA821A14B49E9	n̰
long voiceless glottal stop consonant	ʔː	9920C29AC2DA829A92EC1BC2C1504849	ʔː
nasalized unrounded open-mid back vowel	ʌ̃	62F2D358037999DD8307B44E411EB868	ʌ̃
long unrounded open-mid back vowel	ʌː	3CACC2DCC79CD73D76B3A0C36F30DB30	ʌː
breathy-voiced rounded close back vowel	ṳ	B50D8EC9AF144F73041FAD8AA61301EC	ṳ
breathy-voiced unrounded open front vowel	a̤	DE727911EDC074239FD740BFC5561155	a̤
falling mid-high mid tone	⁴³	DE362E91BCFDF93B18013D47106E2842	˦˧
from rounded close back to unrounded mid central diphthong	uə	4AC20DDBE7F50AB0A361E2FE58A1C3B4	uə
falling high mid-high tone	⁵⁴	F8BC6EBDEC064D9A6E846CFD080DA110	˥˦
long voiceless dental stop consonant	t̪ː	51CBFDAE8C04E0CE821EA819E23EEE42	t̪ː
breathy-voiced alveolar stop consonant	d̤	F52FDCB8A1E6B74B993DE6E648C10637	d̤
syllabic voiced bilabial nasal consonant	m̩	DB153A5121319488364F7931B81817A5	m̩
from rounded close-mid back to rounded close back diphthong	ou	BD43B88339559C4112037A751DD12AD5	ou
breathy-voiced rounded open-mid back vowel	ɔ̤	A9280FF81A961FE96EAEC6AA19DFED12	ɔ̤
palatalized voiceless dental stop consonant	t̪ʲ	DE9C56A9190A6F8A5C54988BE6CE27BB	t̪ʲ
labialized voiced alveolar sibilant-fricative consonant	zʷ	52A02A54B8DDD98E4E4860BC2D154170	zʷ
labialized voiced uvular fricative consonant	ʁʷ	020B8B36617F0D60A3D983AF53439AAA	ʁʷ
voiceless alveolar lateral-affricate consonant	tɬ	5685FEAEF0E34B92C6562FDE7687D3DA	tɬ
voiceless alveolar ejective sibilant-fricative consonant	sʼ	825B20CB261AC2AAD034C4B8C3BC5DFC	sʼ
rounded close-mid central vowel	ɵ	C74D4CD97FCB1EB3BA8BB86CC7A68647	ɵ
long voiced palatal stop consonant	ɟː	13A4A3E1AFA73AE37646634033A9D34E	ɟː
palatalized voiced labio-dental fricative consonant	vʲ	E329A7B64222ED9FB9BD784636512300	vʲ
creaky-voiced alveolar lateral-approximant consonant	l̰	EDC5FF3AC1969BF9330299A0B4DE602A	l̰
