CLTS_NAME	BIPA_GRAPHEME	FREQUENCY	GRAPHEME
front breathy unrounded open-mid front vowel	ɛ̤	409	ɛ̤
voiced palatal stop consonant	ɟ	606	ɟ
voiced velar implosive consonant	ɠ	639	ɠ
voiced velar stop consonant	g	662	ɡ
voiced alveolar click consonant	gǃ	263	ɡ!
glottalized aspirated voiced alveolar click consonant	gǃʰˀ	250	ɡ!ˀʰ
voiced alveolar nasal consonant	n	156	ɡ/n
from voiced velar stop to voiced bilabial stop cluster	gb	576	ɡb
from voiced velar stop to labialized voiced bilabial stop cluster	gbʷ	663	ɡbʷ
from voiced velar stop to voiced alveolar stop cluster	gd	578	ɡd
voiced lateral click consonant	gǁ	249	ɡǁ
glottalized aspirated voiced lateral click consonant	gǁʰˀ	286	ɡǁˀʰ
voiced palatal click consonant	gǂ	235	ɡǂ
glottalized aspirated voiced palatal click consonant	gǂʰˀ	224	ɡǂˀʰ
voiced labial click consonant	gʘ	258	ɡʘ
palatalized voiced velar stop consonant	gʲ	677	ɡʲ
labialized voiced velar stop consonant	gʷ	610	ɡʷ
glottalized voiced velar stop consonant	gˀ	670	ɡˀ
long voiced velar stop consonant	gː	691	ɡː
labialized long voiced velar stop consonant	gʷː	590	ɡːʷ
creaky voiced velar stop consonant	g̰	699	ɡ̰
voiced velar fricative consonant	ɣ	303	ɣ
labialized voiced velar fricative consonant	ɣʷ	295	ɣʷ
back unrounded close-mid back vowel	ɤ	131	ɤ
voiced labialized-palatal approximant consonant	ɥ	432	ɥ
voiced glottal fricative consonant	ɦ	354	ɦ
central unrounded close central vowel	ɨ	150	ɨ
central breathy unrounded close central vowel	ɨ̤	144	ɨ̤
non-syllabic central unrounded close central vowel	ɨ̯	422	ɨ̯
voiceless alveolar lateral fricative consonant	ɬ	444	ɬ
aspirated voiceless alveolar lateral fricative consonant	ɬʰ	434	ɬʰ
glottalized voiceless alveolar lateral fricative consonant	ɬˀ	440	ɬˀ
long voiceless alveolar lateral fricative consonant	ɬː	445	ɬː
voiceless dental lateral fricative consonant	ɬ̪	457	ɬ̪
voiced alveolar lateral fricative consonant	ɮ	454	ɮ
back unrounded close back vowel	ɯ	128	ɯ
back unrounded close back with_rising_tone vowel	ɯ̌	138	ɯ̌
non-syllabic back unrounded close back vowel	ɯ̯	425	ɯ̯
voiced labio-dental nasal consonant	ɱ	534	ɱ
central rounded close-mid central vowel	ɵ	152	ɵ
voiceless bilabial fricative consonant	ɸ	394	ɸ
palatalized voiceless bilabial fricative consonant	ɸʲ	368	ɸʲ
labialized voiceless bilabial fricative consonant	ɸʷ	341	ɸʷ
glottalized voiceless bilabial fricative consonant	ɸˀ	332	ɸˀ
voiced alveolar approximant consonant	ɹ	715	ɹ
devoiced voiced alveolar approximant consonant	ɹ̥	716	ɹ̥
devoiced voiced alveolar tap consonant	ɾ	720	ɾ
voiced uvular fricative consonant	ʁ	725	ʁ
labialized voiced uvular fricative consonant	ʁʷ	344	ʁʷ
glottalized voiced uvular fricative consonant	ʁˀ	359	ʁˀ
voiced palatal implosive consonant	ʄ	566	ʄ
central rounded close central vowel	ʉ	146	ʉ
near-back rounded near-close near-back vowel	ʊ	143	ʊ
near-back breathy rounded near-close near-back vowel	ʊ̤	141	ʊ̤
back unrounded open-mid back vowel	ʌ	129	ʌ
voiced palatal lateral approximant consonant	ʎ	450	ʎ
devoiced voiced palatal lateral approximant consonant	ʎ̥	463	ʎ̥
voiceless glottal stop consonant	ʔ	564	ʔ
aspirated voiceless glottal stop consonant	ʔʰ	646	ʔʰ
palatalized voiceless glottal stop consonant	ʔʲ	686	ʔʲ
labialized voiceless glottal stop consonant	ʔʷ	592	ʔʷ
voiced pharyngeal fricative consonant	ʕ	305	ʕ
labialized voiced pharyngeal fricative consonant	ʕʷ	327	ʕʷ
glottalized voiced pharyngeal fricative consonant	ʕˀ	340	ʕˀ
labialized glottalized voiced pharyngeal fricative consonant	ʕʷˀ	396	ʕˀʷ
voiceless labial click consonant	ʘ	247	ʘ
