CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	URL
palatalized long voiceless uvular stop consonant	qʲː	qʲː	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%cb%90
palatalized pharyngealized voiceless uvular stop consonant	qʲˤ	qˤʲ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b2
palatalized pharyngealized long voiceless uvular stop consonant	qʲˤː	qˤʲː	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b2%cb%90
labialized voiceless uvular stop consonant	qʷ	qʷ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b7
labialized long voiceless uvular stop consonant	qʷː	qʷː	https://chridd.nfshost.com/diachronica/search?q=q%ca%b7%cb%90
labialized pharyngealized voiceless uvular stop consonant	qʷˤ	qˤʷ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b7
labialized pharyngealized long voiceless uvular stop consonant	qʷˤː	qˤʷː	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b7%cb%90
palatalized labialized voiceless uvular stop consonant	qʲʷ	qʲʷ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%ca%b7
palatalized labialized long voiceless uvular stop consonant	qʲʷː	qʲʷː	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%ca%b7%cb%90
palatalized labialized voiceless uvular stop consonant	qʲʷ	qʷʲ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b7%ca%b2
palatalized labialized pharyngealized voiceless uvular stop consonant	qʲʷˤ	qˤʲʷ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b2%ca%b7
palatalized labialized pharyngealized long voiceless uvular stop consonant	qʲʷˤː	qˤʲʷː	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b2%ca%b7%cb%90
palatalized labialized pharyngealized voiceless uvular stop consonant	qʲʷˤ	qˤʷʲ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b7%ca%b2
voiceless glottal stop consonant	ʔ	ʔ	https://chridd.nfshost.com/diachronica/search?q=%ca%94
long voiceless glottal stop consonant	ʔː	ʔː	https://chridd.nfshost.com/diachronica/search?q=%ca%94%cb%90
pharyngealized voiceless glottal stop consonant	ʔˤ	ʔˤ	https://chridd.nfshost.com/diachronica/search?q=%ca%94%cb%a4
labialized voiceless glottal stop consonant	ʔʷ	ʔʷ	https://chridd.nfshost.com/diachronica/search?q=%ca%94%ca%b7
voiceless bilabial ejective stop consonant	pʼ	pʼ	https://chridd.nfshost.com/diachronica/search?q=p%ca%bc
pharyngealized voiceless bilabial ejective stop consonant	p’ˤ	pˤʼ	https://chridd.nfshost.com/diachronica/search?q=p%cb%a4%ca%bc
voiced bilabial ejective stop consonant	b’	bʼ	https://chridd.nfshost.com/diachronica/search?q=b%ca%bc
palatalized voiceless bilabial ejective stop consonant	p’ʲ	pʲʼ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b2%ca%bc
labialized voiceless bilabial ejective stop consonant	p’ʷ	pʷʼ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b7%ca%bc
palatalized labialized voiceless bilabial ejective stop consonant	p’ʲʷ	pʷʲʼ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b7%ca%b2%ca%bc
voiceless alveolar ejective stop consonant	tʼ	tʼ	https://chridd.nfshost.com/diachronica/search?q=t%ca%bc
voiced alveolar ejective stop consonant	d’	dʼ	https://chridd.nfshost.com/diachronica/search?q=d%ca%bc
palatalized voiceless alveolar ejective stop consonant	t’ʲ	tʲʼ	https://chridd.nfshost.com/diachronica/search?q=t%ca%b2%ca%bc
labialized voiceless alveolar ejective stop consonant	t’ʷ	tʷʼ	https://chridd.nfshost.com/diachronica/search?q=t%ca%b7%ca%bc
palatalized labialized voiceless alveolar ejective stop consonant	t’ʲʷ	tʷʲʼ	https://chridd.nfshost.com/diachronica/search?q=t%ca%b7%ca%b2%ca%bc
voiceless retroflex ejective stop consonant	ʈ’	ʈʼ	https://chridd.nfshost.com/diachronica/search?q=%ca%88%ca%bc
voiceless velar ejective stop consonant	kʼ	kʼ	https://chridd.nfshost.com/diachronica/search?q=k%ca%bc
long voiceless velar ejective stop consonant	k’ː	kːʼ	https://chridd.nfshost.com/diachronica/search?q=k%cb%90%ca%bc
voiced velar ejective stop consonant	g’	ɡʼ	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%ca%bc
palatalized voiceless velar ejective stop consonant	k’ʲ	kʲʼ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b2%ca%bc
labialized voiceless velar ejective stop consonant	kʼʷ	kʷʼ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b7%ca%bc
palatalized labialized voiceless velar ejective stop consonant	k’ʲʷ	kʷʲʼ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b7%ca%b2%ca%bc
voiceless uvular ejective stop consonant	qʼ	qʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%bc
long voiceless uvular ejective stop consonant	q’ː	qʼː	https://chridd.nfshost.com/diachronica/search?q=q%ca%bc%cb%90
long voiceless uvular ejective stop consonant	q’ː	qːʼ	https://chridd.nfshost.com/diachronica/search?q=q%cb%90%ca%bc
pharyngealized voiceless uvular ejective stop consonant	q’ˤ	qˤʼ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%bc
palatalized voiceless uvular ejective stop consonant	q’ʲ	qʲʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%ca%bc
palatalized long voiceless uvular ejective stop consonant	q’ʲː	qʲːʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%cb%90%ca%bc
palatalized pharyngealized voiceless uvular ejective stop consonant	q’ʲˤ	qˤʲʼ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b2%ca%bc
labialized voiceless uvular ejective stop consonant	qʼʷ	qʷʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b7%ca%bc
labialized voiceless uvular ejective stop consonant	qʼʷ	qʼʷ	https://chridd.nfshost.com/diachronica/search?q=q%ca%bc%ca%b7
labialized pharyngealized voiceless uvular ejective stop consonant	q’ʷˤ	qˤʷʼ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b7%ca%bc
palatalized labialized voiceless uvular ejective stop consonant	q’ʲʷ	qʲʷʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%ca%b7%ca%bc
palatalized labialized voiceless uvular ejective stop consonant	q’ʲʷ	qʷʲʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b7%ca%b2%ca%bc
palatalized labialized pharyngealized voiceless uvular ejective stop consonant	q’ʲʷˤ	qˤʷʲʼ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b7%ca%b2%ca%bc
voiced bilabial stop consonant	b	b	https://chridd.nfshost.com/diachronica/search?q=b
aspirated voiced bilabial stop consonant	bʰ	bʰ	https://chridd.nfshost.com/diachronica/search?q=b%ca%b0
breathy voiced bilabial stop consonant	bʱ	bʱ	https://chridd.nfshost.com/diachronica/search?q=b%ca%b1
long voiced bilabial stop consonant	bː	bː	https://chridd.nfshost.com/diachronica/search?q=b%cb%90
pharyngealized voiced bilabial stop consonant	bˤ	bˤ	https://chridd.nfshost.com/diachronica/search?q=b%cb%a4
unreleased voiced bilabial stop consonant	b̚	b̚	https://chridd.nfshost.com/diachronica/search?q=b%cc%9a
palatalized voiced bilabial stop consonant	bʲ	bʲ	https://chridd.nfshost.com/diachronica/search?q=b%ca%b2
labialized voiced bilabial stop consonant	bʷ	bʷ	https://chridd.nfshost.com/diachronica/search?q=b%ca%b7
palatalized labialized voiced bilabial stop consonant	bʲʷ	bʷʲ	https://chridd.nfshost.com/diachronica/search?q=b%ca%b7%ca%b2
voiced dental stop consonant	d̪	d̪	https://chridd.nfshost.com/diachronica/search?q=d%cc%aa
voiced alveolar stop consonant	d	d	https://chridd.nfshost.com/diachronica/search?q=d
aspirated voiced alveolar stop consonant	dʰ	dʰ	https://chridd.nfshost.com/diachronica/search?q=d%ca%b0
breathy voiced alveolar stop consonant	dʱ	dʱ	https://chridd.nfshost.com/diachronica/search?q=d%ca%b1
long breathy voiced alveolar stop consonant	dʱː	dʱː	https://chridd.nfshost.com/diachronica/search?q=d%ca%b1%cb%90
long voiced alveolar stop consonant	dː	dː	https://chridd.nfshost.com/diachronica/search?q=d%cb%90
pharyngealized voiced alveolar stop consonant	dˤ	dˤ	https://chridd.nfshost.com/diachronica/search?q=d%cb%a4
voiced alveolar sibilant affricate consonant	dz	d͜z	https://chridd.nfshost.com/diachronica/search?q=d%cd%9cz
pre-nasalized voiced alveolar stop consonant	ⁿd	ⁿd	https://chridd.nfshost.com/diachronica/search?q=%e2%81%bfd
palatalized voiced alveolar stop consonant	dʲ	dʲ	https://chridd.nfshost.com/diachronica/search?q=d%ca%b2
labialized voiced alveolar stop consonant	dʷ	dʷ	https://chridd.nfshost.com/diachronica/search?q=d%ca%b7
voiced retroflex stop consonant	ɖ	ɖ	https://chridd.nfshost.com/diachronica/search?q=%c9%96
breathy voiced retroflex stop consonant	ɖʱ	ɖʱ	https://chridd.nfshost.com/diachronica/search?q=%c9%96%ca%b1
long voiced retroflex stop consonant	ɖː	ɖː	https://chridd.nfshost.com/diachronica/search?q=%c9%96%cb%90
voiced palatal stop consonant	ɟ	ɟ	https://chridd.nfshost.com/diachronica/search?q=%c9%9f
breathy voiced palatal stop consonant	ɟʱ	ɟʱ	https://chridd.nfshost.com/diachronica/search?q=%c9%9f%ca%b1
long voiced palatal stop consonant	ɟː	ɟː	https://chridd.nfshost.com/diachronica/search?q=%c9%9f%cb%90
voiced velar stop consonant	g	ɡ	https://chridd.nfshost.com/diachronica/search?q=%c9%a1
aspirated voiced velar stop consonant	gʰ	ɡʰ	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%ca%b0
breathy voiced velar stop consonant	gʱ	ɡʱ	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%ca%b1
long voiced velar stop consonant	gː	ɡː	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%cb%90
unreleased voiced velar stop consonant	g̚	ɡ̚	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%cc%9a
palatalized voiced velar stop consonant	gʲ	ɡʲ	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%ca%b2
labialized voiced velar stop consonant	gʷ	ɡʷ	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%ca%b7
labialized aspirated voiced velar stop consonant	gʷʰ	ɡʷʰ	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%ca%b7%ca%b0
labialized breathy voiced velar stop consonant	gʷʱ	ɡʷʱ	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%ca%b7%ca%b1
palatalized labialized voiced velar stop consonant	gʲʷ	ɡʲʷ	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%ca%b2%ca%b7
voiced uvular stop consonant	ɢ	ɢ	https://chridd.nfshost.com/diachronica/search?q=%c9%a2
voiced uvular stop consonant	ɢ	ɢ͜	https://chridd.nfshost.com/diachronica/search?q=%c9%a2%cd%9c
voiced uvular stop consonant	ɢ	ɢ͡	https://chridd.nfshost.com/diachronica/search?q=%c9%a2%cd%a1
palatalized voiced uvular stop consonant	ɢʲ	ɢʲ	https://chridd.nfshost.com/diachronica/search?q=%c9%a2%ca%b2
labialized voiced uvular stop consonant	ɢʷ	ɢʷ	https://chridd.nfshost.com/diachronica/search?q=%c9%a2%ca%b7
labialized aspirated voiced uvular stop consonant	ɢʷʰ	ɢʷʰ	https://chridd.nfshost.com/diachronica/search?q=%c9%a2%ca%b7%ca%b0
palatalized labialized voiced uvular stop consonant	ɢʲʷ	ɢʲʷ	https://chridd.nfshost.com/diachronica/search?q=%c9%a2%ca%b2%ca%b7
voiced bilabial implosive consonant	ɓ	ɓ	https://chridd.nfshost.com/diachronica/search?q=%c9%93
voiced dental implosive consonant	ɗ	ɗ	https://chridd.nfshost.com/diachronica/search?q=%c9%97
voiced palatal implosive consonant	ʄ	ʄ	https://chridd.nfshost.com/diachronica/search?q=%ca%84
devoiced voiced velar implosive consonant	ɠ̥	ɠ̥	https://chridd.nfshost.com/diachronica/search?q=%c9%a0%cc%a5
labialized voiced velar implosive consonant	ɠʷ	ɠʷ	https://chridd.nfshost.com/diachronica/search?q=%c9%a0%ca%b7
voiceless bilabial fricative consonant	ɸ	ɸ	https://chridd.nfshost.com/diachronica/search?q=%c9%b8
aspirated voiceless bilabial fricative consonant	ɸʰ	ɸʰ	https://chridd.nfshost.com/diachronica/search?q=%c9%b8%ca%b0
voiceless labio-dental fricative consonant	f	f	https://chridd.nfshost.com/diachronica/search?q=f
long voiceless labio-dental fricative consonant	fː	fː	https://chridd.nfshost.com/diachronica/search?q=f%cb%90
syllabic voiceless labio-dental fricative consonant	f̩	f̩	https://chridd.nfshost.com/diachronica/search?q=f%cc%a9
palatalized voiceless labio-dental fricative consonant	fʲ	fʲ	https://chridd.nfshost.com/diachronica/search?q=f%ca%b2
voiceless dental sibilant fricative consonant	s̪	s̪	https://chridd.nfshost.com/diachronica/search?q=s%cc%aa
voiceless dental fricative consonant	θ	θ	https://chridd.nfshost.com/diachronica/search?q=%ce%b8
long voiceless dental fricative consonant	θː	θː	https://chridd.nfshost.com/diachronica/search?q=%ce%b8%cb%90
